Implementation smell,Namespace,Class,File,Method,Description
Long Method,PerVertexDirectionalLighting,GLViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLViewController.cs,Draw,The method has 216 lines of code.
Long Parameter List,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetOrthoProjection,The method has 7 parameters. Parameters: matrix' left' right' bottom' top' near' far
Long Parameter List,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetFrustumProjection,The method has 7 parameters. Parameters: matrix' left' right' bottom' top' zNear' zFar
Long Parameter List,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetPerspectiveProjectionWithFieldOfView,The method has 5 parameters. Parameters: matrix' fieldOfVision' near' far' aspectRatio
Long Statement,PerVertexDirectionalLighting,GLView,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLView.cs,createBuffers,The length of the statement  "			GL.FramebufferRenderbuffer (FramebufferTarget.Framebuffer' FramebufferSlot.ColorAttachment0' RenderbufferTarget.Renderbuffer' renderBuffer); " is 140.
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetIdentity,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [0] = matrix [5] = matrix [10] = matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [0] = matrix [5] = matrix [10] = matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [0] = matrix [5] = matrix [10] = matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [11] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [12] = xTranslate;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [13] = yTranslate;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetTranslation,The following statement contains a magic number: matrix [14] = zTranslate;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [6] = matrix [7] = matrix [8] = matrix [9] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [5] = yScale;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [10] = zScale;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetScaling,The following statement contains a magic number: matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [4] = -matrix [1];
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [5] = matrix [0];
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [2] = matrix [3] = matrix [6] = matrix [7] = matrix [8] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [2] = matrix [3] = matrix [6] = matrix [7] = matrix [8] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [2] = matrix [3] = matrix [6] = matrix [7] = matrix [8] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [2] = matrix [3] = matrix [6] = matrix [7] = matrix [8] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [2] = matrix [3] = matrix [6] = matrix [7] = matrix [8] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [9] = matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [9] = matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [9] = matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [9] = matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [9] = matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [10] = matrix [15] = 0;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetZRotationUsingRadians,The following statement contains a magic number: matrix [10] = matrix [15] = 0;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [0] = matrix [15] = 1.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [1] = matrix [2] = matrix [3] = matrix [4] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [7] = matrix [8] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [7] = matrix [8] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [11] = matrix [12] = matrix [13] = matrix [14] = 0.0f;
Magic Number,PerVertexDirectionalLighting,GLCommon,D:\research\architectureSmells\repos\xamarin_monotouch-samples\OpenGL\PerVertexDirectionalLighting\GLCommon.cs,Matrix3DSetXRotationUsingRadians,The following statement contains a magic number: matrix [5] = (float) Math.Cos (radians);
