Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The length of the statement  "			GL.BufferData (BufferTarget.ArrayBuffer' (IntPtr) (gCubeVertexData.Length * sizeof (float))' gCubeVertexData' BufferUsage.StaticDraw); " is 134.
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: GL.VertexAttribPointer ((int) GLKVertexAttrib.Position' 3' VertexAttribPointerType.Float' false' 24' 0);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: GL.VertexAttribPointer ((int) GLKVertexAttrib.Position' 3' VertexAttribPointerType.Float' false' 24' 0);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: GL.VertexAttribPointer ((int) GLKVertexAttrib.Normal' 3' VertexAttribPointerType.Float' false' 24' 12);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: GL.VertexAttribPointer ((int) GLKVertexAttrib.Normal' 3' VertexAttribPointerType.Float' false' 24' 12);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,setupGL,The following statement contains a magic number: GL.VertexAttribPointer ((int) GLKVertexAttrib.Normal' 3' VertexAttribPointerType.Float' false' 24' 12);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,Update,The following statement contains a magic number: var projectionMatrix = Matrix4.CreatePerspectiveFieldOfView (MathHelper.DegreesToRadians (65.0f)' aspect' NearZ' FarZ);
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,Update,The following statement contains a magic number: modelViewMatrix = Matrix4.Mult (modelViewMatrix' Matrix4.CreateTranslation ((float) perm [i] * 5.0f + 10.0f' (float) i' 0));
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,Update,The following statement contains a magic number: modelViewMatrix = Matrix4.Mult (modelViewMatrix' Matrix4.CreateTranslation ((float) perm [i] * 5.0f + 10.0f' (float) i' 0));
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,Update,The following statement contains a magic number: modelViewMatrix = Matrix4.Mult (modelViewMatrix' Matrix4.CreateFromAxisAngle (new Vector3 (0' 0' 1)' (float) (2 * Math.PI * i / (float) NumCubes)));
Magic Number,Stars,StarsViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Stars\StarsViewController.cs,Update,The following statement contains a magic number: rotation += (float) TimeSinceLastUpdate * 0.8f;
