Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SpriteMove,The method has 8 parameters. Parameters: netstate' spriteId' time' postion' rotation' speed' rotationRate' speedUpType
Long Statement,DogSE.Server.Core.Protocol.AutoCode,IGameAccess1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ServerLogicProtocol.cs,SetModule,The length of the statement  "                throw new NullReferenceException(string.Format("{0} not TradeAge.Server.Interface.Server.IGame"' m.GetType().FullName)); " is 120.
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,EnterSceneInfo,The following statement contains a magic number: var pw = PacketWriter.AcquireContent(1101);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,EnterSceneInfo,The following statement contains a magic number: PacketProfile packetProfile = PacketProfile.GetOutgoingProfile( 1101 );
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SpriteEnter,The following statement contains a magic number: var pw = PacketWriter.AcquireContent(1102);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SpriteEnter,The following statement contains a magic number: PacketProfile packetProfile = PacketProfile.GetOutgoingProfile( 1102 );
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SpriteLeave,The following statement contains a magic number: var pw = PacketWriter.AcquireContent(1104);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SpriteLeave,The following statement contains a magic number: PacketProfile packetProfile = PacketProfile.GetOutgoingProfile( 1104 );
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SpriteMove,The following statement contains a magic number: var pw = PacketWriter.AcquireContent(1103);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneProxy1,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ClientProxyProtocol.cs,SpriteMove,The following statement contains a magic number: PacketProfile packetProfile = PacketProfile.GetOutgoingProfile( 1103 );
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ILoginAccess2,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ServerLogicProtocol.cs,Init,The following statement contains a magic number: PacketHandlerManager.Register(1000' OnLoginServer);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ILoginAccess2,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ServerLogicProtocol.cs,Init,The following statement contains a magic number: PacketHandlerManager.Register(1003' OnCreatePlayer);
Magic Number,DogSE.Server.Core.Protocol.AutoCode,ISceneAccess3,D:\research\architectureSmells\repos\dogvane_DogSE\TradeAge\Server\TradeAge.Server.Protocol\ServerLogicProtocol.cs,Init,The following statement contains a magic number: PacketHandlerManager.Register(1100' OnMove);
