Implementation smell,Namespace,Class,File,Method,Description
Long Statement,QRCoderTests,QRGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\QRGeneratorTests.cs,validate_antilogtable,The length of the statement  "            checkString.ShouldBe("0'1':1'2':2'4':3'8':4'16':5'32':6'64':7'128':8'29':9'58':10'116':11'232':12'205':13'135':14'19':15'38':16'76':17'152':18'45':19'90':20'180':21'117':22'234':23'201':24'143':25'3':26'6':27'12':28'24':29'48':30'96':31'192':32'157':33'39':34'78':35'156':36'37':37'74':38'148':39'53':40'106':41'212':42'181':43'119':44'238':45'193':46'159':47'35':48'70':49'140':50'5':51'10':52'20':53'40':54'80':55'160':56'93':57'186':58'105':59'210':60'185':61'111':62'222':63'161':64'95':65'190':66'97':67'194':68'153':69'47':70'94':71'188':72'101':73'202':74'137':75'15':76'30':77'60':78'120':79'240':80'253':81'231':82'211':83'187':84'107':85'214':86'177':87'127':88'254':89'225':90'223':91'163':92'91':93'182':94'113':95'226':96'217':97'175':98'67':99'134':100'17':101'34':102'68':103'136':104'13':105'26':106'52':107'104':108'208':109'189':110'103':111'206':112'129':113'31':114'62':115'124':116'248':117'237':118'199':119'147':120'59':121'118':122'236':123'197':124'151':125'51':126'102':127'204':128'133':129'23':130'46':131'92':132'184':133'109':134'218':135'169':136'79':137'158':138'33':139'66':140'132':141'21':142'42':143'84':144'168':145'77':146'154':147'41':148'82':149'164':150'85':151'170':152'73':153'146':154'57':155'114':156'228':157'213':158'183':159'115':160'230':161'209':162'191':163'99':164'198':165'145':166'63':167'126':168'252':169'229':170'215':171'179':172'123':173'246':174'241':175'255':176'227':177'219':178'171':179'75':180'150':181'49':182'98':183'196':184'149':185'55':186'110':187'220':188'165':189'87':190'174':191'65':192'130':193'25':194'50':195'100':196'200':197'141':198'7':199'14':200'28':201'56':202'112':203'224':204'221':205'167':206'83':207'166':208'81':209'162':210'89':211'178':212'121':213'242':214'249':215'239':216'195':217'155':218'43':219'86':220'172':221'69':222'138':223'9':224'18':225'36':226'72':227'144':228'61':229'122':230'244':231'245':232'247':233'243':234'251':235'235':236'203':237'139':238'11':239'22':240'44':241'88':242'176':243'125':244'250':245'233':246'207':247'131':248'27':249'54':250'108':251'216':252'173':253'71':254'142':255'1':"); " is 2109.
Long Statement,QRCoderTests,QRGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\QRGeneratorTests.cs,validate_alphanumencdict,The length of the statement  "            checkString.ShouldBe("0'0:1'1:2'2:3'3:4'4:5'5:6'6:7'7:8'8:9'9:A'10:B'11:C'12:D'13:E'14:F'15:G'16:H'17:I'18:J'19:K'20:L'21:M'22:N'23:O'24:P'25:Q'26:R'27:S'28:T'29:U'30:V'31:W'32:X'33:Y'34:Z'35: '36:$'37:%'38:*'39:+'40:-'41:.'42:/'43::'44:"); " is 240.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bitcoin_address_generator_can_generate_address,The length of the statement  "                .ShouldBe("bitcoin:175tWpb8K1S7NmH4Zx6rewF9WQrcZv245W?label=Some%20Label%20to%20Encode&message=Some%20Message%20to%20Encode&amount=.123"); " is 138.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bookmark_should_escape_input,The length of the statement  "            generator.ToString().ShouldBe("MEBKM:TITLE:A nerd's blog\\: \\\\All\\;the\\;things\\\\;URL:http\\://code-bude.net/fake\\'url.html;;"); " is 134.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,girocode_generator_should_throw_remittance_unstructured_exception,The length of the statement  "            var remittanceInformation = "An unstructured remittance information which is longer than a tweet. This means that this unstructures remittance info has more than 140 chars."; " is 174.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,girocode_generator_should_throw_usermessage_exception,The length of the statement  "            var messageToGirocodeUser = "The usermessage is shown to the user which scans the Girocode. It has to be shorter than 71 chars."; " is 129.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singlepayment_minimal,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepayment' name' account: account' bnc: bnc' amount: amount); " is 127.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singlepayment_minimal,The length of the statement  "                .ShouldBe("bank://singlepayment?name=Wikimedia%20F%C3%B6rdergesellschaft&account=001194700&bnc=100205000&amount=10'00&currency=EUR&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 185.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singlepayment_full,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepayment' name' account' bnc' amount' ""' 0' null' null' reason' postingKey' currency' DateTime.Now); " is 168.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singlepayment_full,The length of the statement  "                .ShouldBe("bank://singlepayment?name=Wikimedia%20F%C3%B6rdergesellschaft&account=001194700&bnc=100205000&postingkey=69&amount=10'00&reason=Thanks%20for%20all%20your%20efforts&currency=USD&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 242.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singledirectdebit,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singledirectdebit' name' account' bnc' amount' ""' 0' null' null' reason' postingKey' currency' DateTime.Now); " is 172.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singledirectdebit,The length of the statement  "                .ShouldBe("bank://singledirectdebit?name=Wikimedia%20F%C3%B6rdergesellschaft&account=001194700&bnc=100205000&postingkey=69&amount=10'00&reason=Thanks%20for%20all%20your%20efforts&currency=USD&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 246.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_periodicsinglepayment,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.periodicsinglepayment' name' account' bnc' amount' periodicTimeunit' periodicTimeunitRotation' periodicFirstExecutionDate' periodicLastExecutionDate' reason' postingKey' currency' DateTime.Now); " is 256.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_periodicsinglepayment,The length of the statement  "                .ShouldBe("bank://periodicsinglepayment?name=Wikimedia%20F%C3%B6rdergesellschaft&account=001194700&bnc=100205000&postingkey=69&amount=10'00&reason=Thanks%20for%20all%20your%20efforts&currency=USD&executiondate=" + DateTime.Now.ToString("ddMMyyyy") + "&periodictimeunit=W&periodictimeunitrotation=2&periodicfirstexecutiondate=" + periodicFirstExecutionDate.ToString("ddMMyyyy") + "&periodiclastexecutiondate=" + periodicLastExecutionDate.ToString("ddMMyyyy")); " is 459.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singlepaymentsepa_minimal,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepaymentsepa' name' iban: iban' bic: bic' amount: amount); " is 125.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singlepaymentsepa_minimal,The length of the statement  "                .ShouldBe("bank://singlepaymentsepa?name=Wikimedia%20F%C3%B6rdergesellschaft&iban=DE33100205000001194700&bic=BFSWDE33BER&amount=10'00&currency=EUR&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 201.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singlepaymentsepa_full,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepaymentsepa' name' iban' bic' amount' ""' 0' null' null' ""' ""' new DateTime(2017'03'01)' reason' sepaReference' currency' DateTime.Now); " is 206.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singlepaymentsepa_full,The length of the statement  "                .ShouldBe("bank://singlepaymentsepa?name=Wikimedia%20F%C3%B6rdergesellschaft&iban=DE33100205000001194700&bic=BFSWDE33BER&separeference=Fake%20SEPA%20reference&amount=10'00&reason=Thanks%20for%20all%20your%20efforts&currency=USD&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 282.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singledirectdebitsepa,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singledirectdebitsepa' name' iban' bic' amount' ""' 0' null' null' creditorId' mandateId' new DateTime(2017'03'01)' reason' sepaReference' currency' DateTime.Now); " is 225.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_singledirectdebitsepa,The length of the statement  "                .ShouldBe("bank://singledirectdebitsepa?name=Wikimedia%20F%C3%B6rdergesellschaft&iban=DE33100205000001194700&bic=BFSWDE33BER&separeference=Fake%20SEPA%20reference&creditorid=DE%2002%20TSV%2001234567890&mandateid=987543CB2&dateofsignature=01032017&amount=10'00&reason=Thanks%20for%20all%20your%20efforts&currency=USD&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 370.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_periodicsinglepaymentsepa,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.periodicsinglepaymentsepa' name' iban' bic' amount' periodicTimeunit' periodicTimeunitRotation' periodicFirstExecutionDate' periodicLastExecutionDate' ""' ""' new DateTime(2017' 03' 01)' reason' sepaReference' currency' DateTime.Now); " is 296.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_periodicsinglepaymentsepa,The length of the statement  "                .ShouldBe("bank://periodicsinglepaymentsepa?name=Wikimedia%20F%C3%B6rdergesellschaft&iban=DE33100205000001194700&bic=BFSWDE33BER&separeference=Fake%20SEPA%20reference&amount=10'00&reason=Thanks%20for%20all%20your%20efforts&currency=USD&executiondate="+DateTime.Now.ToString("ddMMyyyy")+"&periodictimeunit=M&periodictimeunitrotation=1&periodicfirstexecutiondate=" + periodicFirstExecutionDate.ToString("ddMMyyyy") + "&periodiclastexecutiondate=" + periodicLastExecutionDate.ToString("ddMMyyyy")); " is 495.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_contact_full,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.contact' name' account' bnc' ""' ""' "New business contact."); " is 124.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_contact_full,The length of the statement  "                .ShouldBe("bank://contact?name=Wikimedia%20F%C3%B6rdergesellschaft&account=001194700&bnc=100205000&reason=New%20business%20contact."); " is 134.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_contactv2_sepa_full,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.contact_v2' name' ""' ""' iban' bic' "A new v2 contact."); " is 120.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_can_generate_payload_contactv2_sepa_full,The length of the statement  "                .ShouldBe("bank://contact_v2?name=Wikimedia%20F%C3%B6rdergesellschaft&iban=DE33100205000001194700&bic=BFSWDE33BER&reason=A%20new%20v2%20contact."); " is 147.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_handle_account_whitespaces,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepayment' name' account: account' bnc: bnc' amount: amount); " is 127.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_handle_account_whitespaces,The length of the statement  "                .ShouldBe("bank://singlepayment?name=Wikimedia%20F%C3%B6rdergesellschaft&account=01194700&bnc=100205000&amount=10'00&currency=EUR&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 184.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_handle_bnc_whitespaces,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepayment' name' account: account' bnc: bnc' amount: amount); " is 127.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_handle_bnc_whitespaces,The length of the statement  "                .ShouldBe("bank://singlepayment?name=Wikimedia%20F%C3%B6rdergesellschaft&account=001194700&bnc=100205000&amount=10'00&currency=EUR&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 185.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_handle_iban_whitespaces,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepaymentsepa' name' iban: iban' bic: bic' amount: amount); " is 125.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_handle_iban_whitespaces,The length of the statement  "                .ShouldBe("bank://singlepaymentsepa?name=Wikimedia%20F%C3%B6rdergesellschaft&iban=DE33100205000001194700&bic=BFSWDE33BER&amount=10'00&currency=EUR&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 201.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_handle_bic_whitespaces,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepaymentsepa' name' iban: iban' bic: bic' amount: amount); " is 125.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_handle_bic_whitespaces,The length of the statement  "                .ShouldBe("bank://singlepaymentsepa?name=Wikimedia%20F%C3%B6rdergesellschaft&iban=DE33100205000001194700&bic=BFSWDE33BER&amount=10'00&currency=EUR&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 201.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_add_decimals,The length of the statement  "            var generator = new PayloadGenerator.BezahlCode(AuthorityType.singlepayment' name' account: account' bnc: bnc' amount: amount); " is 127.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_add_decimals,The length of the statement  "                .ShouldBe("bank://singlepayment?name=Wikimedia%20F%C3%B6rdergesellschaft&account=001194700&bnc=100205000&amount=10'00&currency=EUR&executiondate="+DateTime.Now.ToString("ddMMyyyy")+""); " is 185.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_throw_wrong_contact_constructor_exception,The length of the statement  "            var exception = Record.Exception(() => new PayloadGenerator.BezahlCode(AuthorityType.singlepayment' name' account' bnc' ""' ""' "New business contact.")); " is 154.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_throw_wrong_contact_constructor_exception,The length of the statement  "            exception.Message.ShouldBe("The constructor without an amount may only ne used with authority types 'contact' and 'contact_v2'."); " is 130.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_throw_wrong_contact_v2_constructor_exception,The length of the statement  "            var exception = Record.Exception(() => new PayloadGenerator.BezahlCode(AuthorityType.periodicsinglepaymentsepa' name' iban: iban' bic: bic)); " is 141.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_throw_wrong_contact_v2_constructor_exception,The length of the statement  "            exception.Message.ShouldBe("The constructor without an amount may only ne used with authority types 'contact' and 'contact_v2'."); " is 130.
Long Statement,QRCoderTests,PayloadGeneratorTests,D:\research\architectureSmells\repos\codebude_QRCoder\QRCoderTests\PayloadGeneratorTests.cs,bezahlcode_generator_should_throw_wrong_nonsepa_constructor_exception,The length of the statement  "            var exception = Record.Exception(() => new PayloadGenerator.BezahlCode(AuthorityType.singlepaymentsepa' name' account: account' bnc: bnc' amount: amount)); " is 155.
