Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,DeltaEngine.Editor.LevelEditor,LevelEditorCamera,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorCamera.cs,LevelEditorCamera,The method has 5 parameters.
Long Parameter List,DeltaEngine.Editor.LevelEditor,WaveHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\WaveHandler.cs,AddWave,The method has 6 parameters.
Long Statement,DeltaEngine.Editor.LevelEditor,BackgroundImageHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\BackgroundImageHandler.cs,SetBackgroundImage,The length of the statement  "		backgroundImage = new Sprite (new Material (ShaderFlags.Position2DColoredTextured' selectedImage)' new Rectangle (GetBackgroundPosition ()' GetBackgroundSize ())) { " is 164.
Long Statement,DeltaEngine.Editor.LevelEditor,BackgroundImageHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\BackgroundImageHandler.cs,GetBackgroundPosition,The length of the statement  "	return new Vector2D (Vector2D.Half.X - GetBackgroundSize ().Width * PositionFactor' Vector2D.Half.Y - GetBackgroundSize ().Height * PositionFactor); " is 148.
Magic Number,DeltaEngine.Editor.LevelEditor,BackgroundImageHandler,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\BackgroundImageHandler.cs,SetBackgroundImage,The following statement contains a magic number: backgroundImage = new Sprite (new Material (ShaderFlags.Position2DColoredTextured' selectedImage)' new Rectangle (GetBackgroundPosition ()' GetBackgroundSize ())) {  	RenderLayer = -10  };  
Magic Number,DeltaEngine.Editor.LevelEditor,PropertyUpdater,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\PropertyUpdater.cs,ResetLevelEditorPane,The following statement contains a magic number: viewModel.Level.Size = new Size (12);  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeClasses,The following statement contains a magic number: Level = new Level (new Size (12' 12));  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeClasses,The following statement contains a magic number: Level = new Level (new Size (12' 12));  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,LevelEditorViewModel,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\LevelEditorViewModel.cs,InitializeLists,The following statement contains a magic number: LevelSizeList = new ObservableCollection<Size> {  	new Size (8' 8)'  	new Size (12' 12)'  	new Size (16' 16)'  	new Size (24' 24)'  	new Size (32' 32)'  	new Size (64' 64)  };  
Magic Number,DeltaEngine.Editor.LevelEditor,CameraSliders,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\CameraSliders.cs,CreateSliders,The following statement contains a magic number: verticalSlider = new Slider (new Theme ()' new Rectangle (0' 0' 1' 1)) {  	Rotation = 90  };  
Magic Number,DeltaEngine.Editor.LevelEditor,CameraSliders,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\CameraSliders.cs,CalculateSliderPositionAndScale,The following statement contains a magic number: horizontalSlider.MaxValue = (int)(gridBorder.Width * 100 - screenBorder.Width * 100);  
Magic Number,DeltaEngine.Editor.LevelEditor,CameraSliders,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\CameraSliders.cs,CalculateSliderPositionAndScale,The following statement contains a magic number: horizontalSlider.MaxValue = (int)(gridBorder.Width * 100 - screenBorder.Width * 100);  
Magic Number,DeltaEngine.Editor.LevelEditor,CameraSliders,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\CameraSliders.cs,CalculateSliderPositionAndScale,The following statement contains a magic number: verticalSlider.MaxValue = (int)(gridBorder.Height * 50 - screenBorder.Height * 50);  
Magic Number,DeltaEngine.Editor.LevelEditor,CameraSliders,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\CameraSliders.cs,CalculateSliderPositionAndScale,The following statement contains a magic number: verticalSlider.MaxValue = (int)(gridBorder.Height * 50 - screenBorder.Height * 50);  
Magic Number,DeltaEngine.Editor.LevelEditor,StringToVectorConverter,C:\repos\DeltaEngine_DeltaEngine.SharpDX\Editor\LevelEditor\StringToVectorConverter.cs,Convert,The following statement contains a magic number: if (stringSplit.Length != 3)  	return null;  
