Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
Magic Number,MeTagQA,MainForm,C:\repos\superlucky8848_Misc_VS\MeTag\MeTagQA\MainForm.cs,splitContainer_Splitter_Paint,The following statement contains a magic number: if (control.Orientation == Orientation.Horizontal) {  	points [0] = new Point ((w / 2)' d + (sW / 2));  	points [1] = new Point (points [0].X - 10' points [0].Y);  	points [2] = new Point (points [0].X + 10' points [0].Y);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' 0' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' 0' d + sW / 2 - 1' w / 2 - 21' 1);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 20' 2);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' w / 2 + 20' d + sW / 2 - 1' w / 2 - 21' 1);  }  else {  	points [0] = new Point (d + (sW / 2)' (h / 2));  	points [1] = new Point (points [0].X' points [0].Y - 10);  	points [2] = new Point (points [0].X' points [0].Y + 10);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' 0' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' 0' 1' h / 2 - 21);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlDarkDark)' d + sW / 2 - 1' h / 2 + 20' 2' h / 2 - 20);  	e.Graphics.FillRectangle (new SolidBrush (SystemColors.ControlLightLight)' d + sW / 2 - 1' h / 2 + 20' 1' h / 2 - 21);  }  
