Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCLINICAL_HISTORY_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCI_I22_CLINICAL_HISTORY_DETAIL>("CLINICAL_HISTORY_DETAILRepetitionsUsed"' "GetCLINICAL_HISTORY_DETAIL"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCLINICAL_ORDER_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCR_I16_CLINICAL_ORDER_DETAIL>("CLINICAL_ORDER_DETAILRepetitionsUsed"' "GetCLINICAL_ORDER_DETAIL"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            object[] result = message.GetRecords("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 127.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCR_I16_MEDICATION_ADMINISTRATION_DETAIL>("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 161.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCLINICAL_HISTORY_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCU_I20_CLINICAL_HISTORY_DETAIL>("CLINICAL_HISTORY_DETAILRepetitionsUsed"' "GetCLINICAL_HISTORY_DETAIL"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllROLE_CLINICAL_HISTORYRecords,The length of the statement  "            return message.GetAllRecords<CCU_I20_ROLE_CLINICAL_HISTORY>("ROLE_CLINICAL_HISTORYRepetitionsUsed"' "GetROLE_CLINICAL_HISTORY"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            object[] result = message.GetRecords("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 127.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CCU_I20_MEDICATION_ADMINISTRATION_DETAIL>("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 161.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCLINICAL_HISTORY_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CQU_I19_CLINICAL_HISTORY_DETAIL>("CLINICAL_HISTORY_DETAILRepetitionsUsed"' "GetCLINICAL_HISTORY_DETAIL"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllROLE_CLINICAL_HISTORYRecords,The length of the statement  "            return message.GetAllRecords<CQU_I19_ROLE_CLINICAL_HISTORY>("ROLE_CLINICAL_HISTORYRepetitionsUsed"' "GetROLE_CLINICAL_HISTORY"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            object[] result = message.GetRecords("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 127.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllMEDICATION_ADMINISTRATION_DETAILRecords,The length of the statement  "            return message.GetAllRecords<CQU_I19_MEDICATION_ADMINISTRATION_DETAIL>("MEDICATION_ADMINISTRATION_DETAILRepetitionsUsed"' "GetMEDICATION_ADMINISTRATION_DETAIL"); " is 161.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_PROCEDURERecords,The length of the statement  "            return message.GetAllRecords<DFT_P03_FINANCIAL_PROCEDURE>("FINANCIAL_PROCEDURERepetitionsUsed"' "GetFINANCIAL_PROCEDURE"); " is 122.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_COMMON_ORDERRecords,The length of the statement  "            return message.GetAllRecords<DFT_P03_FINANCIAL_COMMON_ORDER>("FINANCIAL_COMMON_ORDERRepetitionsUsed"' "GetFINANCIAL_COMMON_ORDER"); " is 131.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_TIMING_QUANTITYRecords,The length of the statement  "            return message.GetAllRecords<DFT_P03_FINANCIAL_TIMING_QUANTITY>("FINANCIAL_TIMING_QUANTITYRepetitionsUsed"' "GetFINANCIAL_TIMING_QUANTITY"); " is 140.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<DFT_P03_FINANCIAL_OBSERVATION>("FINANCIAL_OBSERVATIONRepetitionsUsed"' "GetFINANCIAL_OBSERVATION"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_PROCEDURERecords,The length of the statement  "            return message.GetAllRecords<DFT_P11_FINANCIAL_PROCEDURE>("FINANCIAL_PROCEDURERepetitionsUsed"' "GetFINANCIAL_PROCEDURE"); " is 122.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_COMMON_ORDERRecords,The length of the statement  "            return message.GetAllRecords<DFT_P11_FINANCIAL_COMMON_ORDER>("FINANCIAL_COMMON_ORDERRepetitionsUsed"' "GetFINANCIAL_COMMON_ORDER"); " is 131.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_INSURANCERecords,The length of the statement  "            return message.GetAllRecords<DFT_P11_FINANCIAL_INSURANCE>("FINANCIAL_INSURANCERepetitionsUsed"' "GetFINANCIAL_INSURANCE"); " is 122.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_TIMING_QUANTITYRecords,The length of the statement  "            return message.GetAllRecords<DFT_P11_FINANCIAL_TIMING_QUANTITY>("FINANCIAL_TIMING_QUANTITYRepetitionsUsed"' "GetFINANCIAL_TIMING_QUANTITY"); " is 140.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllFINANCIAL_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<DFT_P11_FINANCIAL_OBSERVATION>("FINANCIAL_OBSERVATIONRepetitionsUsed"' "GetFINANCIAL_OBSERVATION"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPRODUCT_SERVICE_LINE_ITEMRecords,The length of the statement  "            return message.GetAllRecords<EHC_E01_PRODUCT_SERVICE_LINE_ITEM>("PRODUCT_SERVICE_LINE_ITEMRepetitionsUsed"' "GetPRODUCT_SERVICE_LINE_ITEM"); " is 140.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPRODUCT_SERVICE_GROUPRecords,The length of the statement  "            return message.GetAllRecords<EHC_E01_PRODUCT_SERVICE_GROUP>("PRODUCT_SERVICE_GROUPRepetitionsUsed"' "GetPRODUCT_SERVICE_GROUP"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPRODUCT_SERVICE_GROUPRecords,The length of the statement  "            return message.GetAllRecords<EHC_E04_PRODUCT_SERVICE_GROUP>("PRODUCT_SERVICE_GROUPRepetitionsUsed"' "GetPRODUCT_SERVICE_GROUP"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPRODUCT_SERVICE_SECTIONRecords,The length of the statement  "            return message.GetAllRecords<EHC_E10_PRODUCT_SERVICE_SECTION>("PRODUCT_SERVICE_SECTIONRepetitionsUsed"' "GetPRODUCT_SERVICE_SECTION"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPRODUCT_SERVICE_LINE_INFORecords,The length of the statement  "            return message.GetAllRecords<EHC_E10_PRODUCT_SERVICE_LINE_INFO>("PRODUCT_SERVICE_LINE_INFORepetitionsUsed"' "GetPRODUCT_SERVICE_LINE_INFO"); " is 140.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPRODUCT_SERVICE_GROUPRecords,The length of the statement  "            return message.GetAllRecords<EHC_E10_PRODUCT_SERVICE_GROUP>("PRODUCT_SERVICE_GROUPRepetitionsUsed"' "GetPRODUCT_SERVICE_GROUP"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPRODUCT_SERVICE_SECTIONRecords,The length of the statement  "            return message.GetAllRecords<EHC_E15_PRODUCT_SERVICE_SECTION>("PRODUCT_SERVICE_SECTIONRepetitionsUsed"' "GetPRODUCT_SERVICE_SECTION"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPRODUCT_SERVICE_GROUPRecords,The length of the statement  "            return message.GetAllRecords<EHC_E15_PRODUCT_SERVICE_GROUP>("PRODUCT_SERVICE_GROUPRepetitionsUsed"' "GetPRODUCT_SERVICE_GROUP"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllMF_PHASE_SCHED_DETAILRecords,The length of the statement  "            return message.GetAllRecords<MFN_M06_MF_PHASE_SCHED_DETAIL>("MF_PHASE_SCHED_DETAILRepetitionsUsed"' "GetMF_PHASE_SCHED_DETAIL"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCONTAINER_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OMG_O19_CONTAINER_OBSERVATION>("CONTAINER_OBSERVATIONRepetitionsUsed"' "GetCONTAINER_OBSERVATION"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OMG_O19_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCONTAINER_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OML_O21_CONTAINER_OBSERVATION>("CONTAINER_OBSERVATIONRepetitionsUsed"' "GetCONTAINER_OBSERVATION"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OML_O21_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OML_O33_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OML_O35_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_IN_PACKAGERecords,The length of the statement  "            return message.GetAllRecords<OML_O39_SPECIMEN_IN_PACKAGE>("SPECIMEN_IN_PACKAGERepetitionsUsed"' "GetSPECIMEN_IN_PACKAGE"); " is 122.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCONTAINER_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OML_O39_CONTAINER_OBSERVATION>("CONTAINER_OBSERVATIONRepetitionsUsed"' "GetCONTAINER_OBSERVATION"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OML_O39_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetSPECIMEN_CONTAINER_IN_PACKAGERecords,The length of the statement  "            object[] result = message.GetRecords("SPECIMEN_CONTAINER_IN_PACKAGERepetitionsUsed"' "GetSPECIMEN_CONTAINER_IN_PACKAGE"); " is 121.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_CONTAINER_IN_PACKAGERecords,The length of the statement  "            return message.GetAllRecords<OML_O39_SPECIMEN_CONTAINER_IN_PACKAGE>("SPECIMEN_CONTAINER_IN_PACKAGERepetitionsUsed"' "GetSPECIMEN_CONTAINER_IN_PACKAGE"); " is 152.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSHIPMENT_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OML_O39_SHIPMENT_OBSERVATION>("SHIPMENT_OBSERVATIONRepetitionsUsed"' "GetSHIPMENT_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllCONTAINER_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OPL_O37_CONTAINER_OBSERVATION>("CONTAINER_OBSERVATIONRepetitionsUsed"' "GetCONTAINER_OBSERVATION"); " is 128.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllORDER_RELATED_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OPL_O37_ORDER_RELATED_OBSERVATION>("ORDER_RELATED_OBSERVATIONRepetitionsUsed"' "GetORDER_RELATED_OBSERVATION"); " is 140.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllOBSERVATION_RESULT_GROUPRecords,The length of the statement  "            return message.GetAllRecords<OPL_O37_OBSERVATION_RESULT_GROUP>("OBSERVATION_RESULT_GROUPRepetitionsUsed"' "GetOBSERVATION_RESULT_GROUP"); " is 137.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllOBSERVATIONS_ON_PATIENTRecords,The length of the statement  "            return message.GetAllRecords<OPL_O37_OBSERVATIONS_ON_PATIENT>("OBSERVATIONS_ON_PATIENTRepetitionsUsed"' "GetOBSERVATIONS_ON_PATIENT"); " is 134.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OPL_O37_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllOBSERVATION_REQUESTRecords,The length of the statement  "            return message.GetAllRecords<OPL_O37_OBSERVATION_REQUEST>("OBSERVATION_REQUESTRepetitionsUsed"' "GetOBSERVATION_REQUEST"); " is 122.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OPR_O38_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllOBSERVATION_REQUESTRecords,The length of the statement  "            return message.GetAllRecords<OPR_O38_OBSERVATION_REQUEST>("OBSERVATION_REQUESTRepetitionsUsed"' "GetOBSERVATION_REQUEST"); " is 122.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPATIENT_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OPU_R25_PATIENT_OBSERVATION>("PATIENT_OBSERVATIONRepetitionsUsed"' "GetPATIENT_OBSERVATION"); " is 122.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<OPU_R25_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<ORL_O34_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<ORL_O36_SPECIMEN_OBSERVATION>("SPECIMEN_OBSERVATIONRepetitionsUsed"' "GetSPECIMEN_OBSERVATION"); " is 125.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_IN_PACKAGERecords,The length of the statement  "            return message.GetAllRecords<ORL_O40_SPECIMEN_IN_PACKAGE>("SPECIMEN_IN_PACKAGERepetitionsUsed"' "GetSPECIMEN_IN_PACKAGE"); " is 122.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetSPECIMEN_CONTAINER_IN_PACKAGERecords,The length of the statement  "            object[] result = message.GetRecords("SPECIMEN_CONTAINER_IN_PACKAGERepetitionsUsed"' "GetSPECIMEN_CONTAINER_IN_PACKAGE"); " is 121.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllSPECIMEN_CONTAINER_IN_PACKAGERecords,The length of the statement  "            return message.GetAllRecords<ORL_O40_SPECIMEN_CONTAINER_IN_PACKAGE>("SPECIMEN_CONTAINER_IN_PACKAGERepetitionsUsed"' "GetSPECIMEN_CONTAINER_IN_PACKAGE"); " is 152.
Long Statement,NHapiTools.Model.V27.Group,GroupExtensions,D:\research\architectureSmells\repos\dib0_NHapiTools\Model.V27\Group\GroupExtensions.cs,GetAllPATIENT_OBSERVATIONRecords,The length of the statement  "            return message.GetAllRecords<ORU_R01_PATIENT_OBSERVATION>("PATIENT_OBSERVATIONRepetitionsUsed"' "GetPATIENT_OBSERVATION"); " is 122.
