Implementation smell,Namespace,Class,File,Method,Description
Long Method,RavenCodeSamples.Consumer,Includes,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Includes.cs,SimplePaging,The method has 126 lines of code.
Long Method,RavenCodeSamples.Consumer,Patching,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Patching.cs,SimplePatching,The method has 145 lines of code.
Long Method,RavenCodeSamples.Server,Bundles,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Server\Bundles.cs,ForDocumenting,The method has 112 lines of code.
Long Statement,RavenCodeSamples.Server,Bundles,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Server\Bundles.cs,ForDocumenting,The length of the statement  "					session.Advanced.GetMetadataFor(parent)["Raven-Cascade-Delete-Documents"] = RavenJArray.FromObject(new[] { "childId1"' "childId2" }); " is 133.
Magic Number,RavenCodeSamples.Consumer,Paging,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Paging.cs,SimplePaging,The following statement contains a magic number: var results = session.Query<BlogPost>()  						.Statistics(out stats)  						.Skip(0 * 10) // retrieve results for the first page  						.Take(10) // page size is 10  						.Where(x => x.Category == "RavenDB")  						.Distinct()  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Paging,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Paging.cs,SimplePaging,The following statement contains a magic number: results = session.Query<BlogPost>()  						.Statistics(out stats)  						.Skip((1 * 10) + skippedResults) // retrieve results for the second page' taking into account skipped results  						.Take(10) // page size is 10  						.Where(x => x.Category == "RavenDB")  						.Distinct()  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Paging,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Paging.cs,SimplePaging,The following statement contains a magic number: results = session.Query<BlogPost>()  						.Statistics(out stats)  						.Skip((1 * 10) + skippedResults) // retrieve results for the second page' taking into account skipped results  						.Take(10) // page size is 10  						.Where(x => x.Category == "RavenDB")  						.Distinct()  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Sharding,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Sharding.cs,Sharding,The following statement contains a magic number: session.Store(new Invoice { CompanyId = american.Id' Amount = 3' IssuedAt = DateTime.Today.AddDays(-1) });
Magic Number,RavenCodeSamples.Consumer,Sharding,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Sharding.cs,Sharding,The following statement contains a magic number: session.Store(new Invoice { CompanyId = asian.Id' Amount = 5' IssuedAt = DateTime.Today.AddDays(-1) });
Magic Number,RavenCodeSamples.Consumer,Sharding,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Sharding.cs,Sharding,The following statement contains a magic number: session.Store(new Invoice { CompanyId = middleEastern.Id' Amount = 12' IssuedAt = DateTime.Today });
Magic Number,RavenCodeSamples.Consumer,Spatial,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Spatial.cs,BasicSpatialSearch,The following statement contains a magic number: var matchingRestaurants =  						session.Advanced.LuceneQuery<Restaurant>("Restaurants/ByRatingAndLocation")  							.WhereGreaterThanOrEqual("Rating"' 4)  							.WithinRadiusOf(radius: 5' latitude: 38.9103000' longitude: -77.3942)  							.ToList();
Magic Number,RavenCodeSamples.Consumer,Spatial,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Spatial.cs,BasicSpatialSearch,The following statement contains a magic number: var matchingRestaurants =  						session.Advanced.LuceneQuery<Restaurant>("Restaurants/ByRatingAndLocation")  							.WhereGreaterThanOrEqual("Rating"' 4)  							.WithinRadiusOf(radius: 5' latitude: 38.9103000' longitude: -77.3942)  							.ToList();
Magic Number,RavenCodeSamples.Consumer,Spatial,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Spatial.cs,BasicSpatialSearch,The following statement contains a magic number: var matchingRestaurants =  						session.Advanced.LuceneQuery<Restaurant>("Restaurants/ByRatingAndLocation")  							.WhereGreaterThanOrEqual("Rating"' 4)  							.WithinRadiusOf(radius: 5' latitude: 38.9103000' longitude: -77.3942)  							.ToList();
Magic Number,RavenCodeSamples.Consumer,Spatial,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Spatial.cs,BasicSpatialSearch,The following statement contains a magic number: var matchingRestaurants =  						session.Advanced.LuceneQuery<Restaurant>("Restaurants/ByRatingAndLocation")  							.WhereGreaterThanOrEqual("Rating"' 4)  							.WithinRadiusOf(radius: 5' latitude: 38.9103000' longitude: -77.3942)  							.ToList();
Magic Number,RavenCodeSamples.Consumer,Stale,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Stale.cs,SimpleStaleChecks,The following statement contains a magic number: var results = session.Query<Product>()  						.Statistics(out stats)  						.Where(x => x.Price > 10)  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Stale,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Stale.cs,SimpleStaleChecks,The following statement contains a magic number: var results = session.Query<Product>()  						.Statistics(out stats)  						.Where(x => x.Price > 10)  						.Customize(x => x.WaitForNonStaleResults(TimeSpan.FromSeconds(5)))  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Stale,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Stale.cs,SimpleStaleChecks,The following statement contains a magic number: var results = session.Query<Product>()  						.Statistics(out stats)  						.Where(x => x.Price > 10)  						.Customize(x => x.WaitForNonStaleResults(TimeSpan.FromSeconds(5)))  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Stale,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Stale.cs,SimpleStaleChecks,The following statement contains a magic number: var results = session.Query<Product>()  						.Statistics(out stats)  						.Where(x => x.Price > 10)  						.Customize(x => x.WaitForNonStaleResultsAsOf(new DateTime(2011' 5' 1' 10' 0' 0' 0)))  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Stale,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Stale.cs,SimpleStaleChecks,The following statement contains a magic number: var results = session.Query<Product>()  						.Statistics(out stats)  						.Where(x => x.Price > 10)  						.Customize(x => x.WaitForNonStaleResultsAsOf(new DateTime(2011' 5' 1' 10' 0' 0' 0)))  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Stale,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Stale.cs,SimpleStaleChecks,The following statement contains a magic number: var results = session.Query<Product>()  						.Statistics(out stats)  						.Where(x => x.Price > 10)  						.Customize(x => x.WaitForNonStaleResultsAsOf(new DateTime(2011' 5' 1' 10' 0' 0' 0)))  						.ToArray();
Magic Number,RavenCodeSamples.Consumer,Stale,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Consumer\Stale.cs,SimpleStaleChecks,The following statement contains a magic number: var results = session.Query<Product>()  						.Statistics(out stats)  						.Where(x => x.Price > 10)  						.Customize(x => x.WaitForNonStaleResultsAsOf(new DateTime(2011' 5' 1' 10' 0' 0' 0)))  						.ToArray();
Magic Number,RavenCodeSamples.Intro,BasicOperations,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Intro\BasicOperations.cs,BasicSamples,The following statement contains a magic number: var results = session.Query<BlogPost>()  						.Where(x => x.Comments.Length >= 10)  						.ToList();
Magic Number,RavenCodeSamples.Server,Bundles,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Server\Bundles.cs,VersioningBundle,The following statement contains a magic number: session.Store(new  					{  						Exclude = false'  						Id = "Raven/Versioning/DefaultConfiguration"'  						MaxRevisions = 5  					});
Magic Number,RavenCodeSamples.Server,Bundles,C:\research\architectureSmells\repos\ravendb_docs\Documentation\1.0\Samples\csharp\Raven.Documentation.Samples\Server\Bundles.cs,ForDocumenting,The following statement contains a magic number: var expiry = DateTime.Now.AddMinutes(5);
