Implementation smell,Namespace,Class,File,Method,Description
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        data.ForEachGroup(16'                           (dataGroup' position' length) => {                              for (int x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong)length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong)length;                          });                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          data.ForEachGroup(32'                           (dataGroup' position' length) => {                                for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          });                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        data.ForEachGroup(16'                           (dataGroup' position' length) => {                              for (int x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong)length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong)length;                          });                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          data.ForEachGroup(32'                           (dataGroup' position' length) => {                                for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          });                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        data.ForEachGroup(16'                           (dataGroup' position' length) => {                              for (int x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong)length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong)length;                          });                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          data.ForEachGroup(32'                           (dataGroup' position' length) => {                                for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          });                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        data.ForEachGroup(16'                           (dataGroup' position' length) => {                              for (int x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong)length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong)length;                          });                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          data.ForEachGroup(32'                           (dataGroup' position' length) => {                                for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          });                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
Magic Number,System.Data.HashFunction,xxHash,C:\repos\brandondahler_Data.HashFunction\src\xxHash\xxHash.cs,ComputeHashAsyncInternal,The following statement contains a magic number: switch (HashSize)              {                  case 32:                  {                      var h = ((UInt32) InitVal) + _primes32[4];                        ulong dataCount = 0;                      byte[] remainder = null;                          var initValues = new[] {                          ((UInt32) InitVal) + _primes32[0] + _primes32[1]'                          ((UInt32) InitVal) + _primes32[1]'                          ((UInt32) InitVal)'                          ((UInt32) InitVal) - _primes32[0]                      };                        await data.ForEachGroupAsync(16'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 16)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt32(dataGroup' x + (y * 4)) * _primes32[1];                                      initValues[y] = initValues[y].RotateLeft(13);                                      initValues[y] *= _primes32[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) length;                          }).ConfigureAwait(false);                        PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }                    case 64:                  {                       var h = InitVal + _primes64[4];                        ulong dataCount = 0;                      byte[] remainder = null;                        var initValues = new[] {                          InitVal + _primes64[0] + _primes64[1]'                          InitVal + _primes64[1]'                          InitVal'                          InitVal - _primes64[0]                      };                          await data.ForEachGroupAsync(32'                           (dataGroup' position' length) => {                              for (var x = position; x < position + length; x += 32)                              {                                  for (var y = 0; y < 4; ++y)                                  {                                      initValues[y] += BitConverter.ToUInt64(dataGroup' x + (y * 8)) * _primes64[1];                                      initValues[y] = initValues[y].RotateLeft(31);                                      initValues[y] *= _primes64[0];                                  }                              }                                dataCount += (ulong) length;                          }'                          (remainderData' position' length) => {                              remainder = new byte[length];                              Array.Copy(remainderData' position' remainder' 0' length);                                dataCount += (ulong) remainder.Length;                          }).ConfigureAwait(false);                          PostProcess(ref h' initValues' dataCount' remainder);                        hash = BitConverter.GetBytes(h);                      break;                  }              }
