Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DrawOperationTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DrawOperationTests.cs,Rectangle_Bounds_Are_Snapped_To_Pixels,The method has 11 parameters. Parameters: x' y' width' height' scaleX' scaleY' penThickness' expectedX' expectedY' expectedWidth' expectedHeight
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockRenderInterface,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,CreateFormattedText,The method has 7 parameters. Parameters: text' typeface' fontSize' textAlignment' wrapping' constraint' spans
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockRenderInterface,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,LoadBitmap,The method has 5 parameters. Parameters: format' data' size' dpi' stride
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockStreamGeometryContext,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,ArcTo,The method has 5 parameters. Parameters: point' size' rotationAngle' isLargeArc' sweepDirection
Long Statement,Avalonia.Visuals.UnitTests.Rendering,DeferredRendererTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\DeferredRendererTests.cs,Should_Draw_Transparent_Layer_With_Correct_Opacity,The length of the statement  "            context.Verify(x => x.DrawImage(borderLayer' 0.5' It.IsAny<Rect>()' It.IsAny<Rect>()' BitmapInterpolationMode.Default)); " is 120.
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Parses_TopLeft_TopRight_BottomRight_BottomLeft,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2' 3.3' 4.4)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Accepts_Spaces,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2' 3.3' 4.4)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Accepts_Spaces,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2' 3.3' 4.4)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Accepts_Spaces,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2' 3.3' 4.4)' result);
Magic Number,Avalonia.Visuals.UnitTests,CornerRadiusTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\CornerRadiusTests.cs,Parse_Accepts_Spaces,The following statement contains a magic number: Assert.Equal(new CornerRadius(1.1' 2.2' 3.3' 4.4)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_Intersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(50' 50' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_Intersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(50' 50' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_Intersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(50' 50' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_Intersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(50' 50' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_Intersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(50' 50' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_Intersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(50' 50' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_Intersecting_Rects,The following statement contains a magic number: Assert.Equal(new Rect(0' 0' 150' 150)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_Intersecting_Rects,The following statement contains a magic number: Assert.Equal(new Rect(0' 0' 150' 150)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_NonIntersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_NonIntersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_NonIntersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_NonIntersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_NonIntersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_NonIntersecting_Rects,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_NonIntersecting_Rects,The following statement contains a magic number: Assert.Equal(new Rect(0' 0' 250' 250)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Return_Correct_Value_For_NonIntersecting_Rects,The following statement contains a magic number: Assert.Equal(new Rect(0' 0' 250' 250)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_This_rect,The following statement contains a magic number: var result = new Rect(0' 0' 0' 0).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_This_rect,The following statement contains a magic number: var result = new Rect(0' 0' 0' 0).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_This_rect,The following statement contains a magic number: var result = new Rect(0' 0' 0' 0).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_This_rect,The following statement contains a magic number: var result = new Rect(0' 0' 0' 0).Union(new Rect(150' 150' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_This_rect,The following statement contains a magic number: Assert.Equal(new Rect(150' 150' 100' 100)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_This_rect,The following statement contains a magic number: Assert.Equal(new Rect(150' 150' 100' 100)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_This_rect,The following statement contains a magic number: Assert.Equal(new Rect(150' 150' 100' 100)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_This_rect,The following statement contains a magic number: Assert.Equal(new Rect(150' 150' 100' 100)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_Other_rect,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 0' 0));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_Other_rect,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 0' 0));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_Other_rect,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 0' 0));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_Other_rect,The following statement contains a magic number: var result = new Rect(0' 0' 100' 100).Union(new Rect(150' 150' 0' 0));
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_Other_rect,The following statement contains a magic number: Assert.Equal(new Rect(0' 0' 100' 100)' result);
Magic Number,Avalonia.Visuals.UnitTests,RectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RectTests.cs,Union_Should_Ignore_Empty_Other_rect,The following statement contains a magic number: Assert.Equal(new Rect(0' 0' 100' 100)' result);
Magic Number,Avalonia.Visuals.UnitTests,RelativePointTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativePointTests.cs,Parse_Should_Accept_Absolute_Value,The following statement contains a magic number: Assert.Equal(new RelativePoint(4' 5' RelativeUnit.Absolute)' result);
Magic Number,Avalonia.Visuals.UnitTests,RelativePointTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativePointTests.cs,Parse_Should_Accept_Absolute_Value,The following statement contains a magic number: Assert.Equal(new RelativePoint(4' 5' RelativeUnit.Absolute)' result);
Magic Number,Avalonia.Visuals.UnitTests,RelativePointTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativePointTests.cs,Parse_Should_Accept_Relative_Value,The following statement contains a magic number: Assert.Equal(new RelativePoint(0.25' 0.5' RelativeUnit.Relative)' result);
Magic Number,Avalonia.Visuals.UnitTests,RelativePointTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativePointTests.cs,Parse_Should_Accept_Relative_Value,The following statement contains a magic number: Assert.Equal(new RelativePoint(0.25' 0.5' RelativeUnit.Relative)' result);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectComparer,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectComparer.cs,Equals,The following statement contains a magic number: return a.Unit == b.Unit &&                     Math.Round(a.Rect.X' 3) == Math.Round(b.Rect.X' 3) &&                     Math.Round(a.Rect.Y' 3) == Math.Round(b.Rect.Y' 3) &&                     Math.Round(a.Rect.Width' 3) == Math.Round(b.Rect.Width' 3) &&                     Math.Round(a.Rect.Height' 3) == Math.Round(b.Rect.Height' 3);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectComparer,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectComparer.cs,Equals,The following statement contains a magic number: return a.Unit == b.Unit &&                     Math.Round(a.Rect.X' 3) == Math.Round(b.Rect.X' 3) &&                     Math.Round(a.Rect.Y' 3) == Math.Round(b.Rect.Y' 3) &&                     Math.Round(a.Rect.Width' 3) == Math.Round(b.Rect.Width' 3) &&                     Math.Round(a.Rect.Height' 3) == Math.Round(b.Rect.Height' 3);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectComparer,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectComparer.cs,Equals,The following statement contains a magic number: return a.Unit == b.Unit &&                     Math.Round(a.Rect.X' 3) == Math.Round(b.Rect.X' 3) &&                     Math.Round(a.Rect.Y' 3) == Math.Round(b.Rect.Y' 3) &&                     Math.Round(a.Rect.Width' 3) == Math.Round(b.Rect.Width' 3) &&                     Math.Round(a.Rect.Height' 3) == Math.Round(b.Rect.Height' 3);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectComparer,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectComparer.cs,Equals,The following statement contains a magic number: return a.Unit == b.Unit &&                     Math.Round(a.Rect.X' 3) == Math.Round(b.Rect.X' 3) &&                     Math.Round(a.Rect.Y' 3) == Math.Round(b.Rect.Y' 3) &&                     Math.Round(a.Rect.Width' 3) == Math.Round(b.Rect.Width' 3) &&                     Math.Round(a.Rect.Height' 3) == Math.Round(b.Rect.Height' 3);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectComparer,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectComparer.cs,Equals,The following statement contains a magic number: return a.Unit == b.Unit &&                     Math.Round(a.Rect.X' 3) == Math.Round(b.Rect.X' 3) &&                     Math.Round(a.Rect.Y' 3) == Math.Round(b.Rect.Y' 3) &&                     Math.Round(a.Rect.Width' 3) == Math.Round(b.Rect.Width' 3) &&                     Math.Round(a.Rect.Height' 3) == Math.Round(b.Rect.Height' 3);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectComparer,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectComparer.cs,Equals,The following statement contains a magic number: return a.Unit == b.Unit &&                     Math.Round(a.Rect.X' 3) == Math.Round(b.Rect.X' 3) &&                     Math.Round(a.Rect.Y' 3) == Math.Round(b.Rect.Y' 3) &&                     Math.Round(a.Rect.Width' 3) == Math.Round(b.Rect.Width' 3) &&                     Math.Round(a.Rect.Height' 3) == Math.Round(b.Rect.Height' 3);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectComparer,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectComparer.cs,Equals,The following statement contains a magic number: return a.Unit == b.Unit &&                     Math.Round(a.Rect.X' 3) == Math.Round(b.Rect.X' 3) &&                     Math.Round(a.Rect.Y' 3) == Math.Round(b.Rect.Y' 3) &&                     Math.Round(a.Rect.Width' 3) == Math.Round(b.Rect.Width' 3) &&                     Math.Round(a.Rect.Height' 3) == Math.Round(b.Rect.Height' 3);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectComparer,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectComparer.cs,Equals,The following statement contains a magic number: return a.Unit == b.Unit &&                     Math.Round(a.Rect.X' 3) == Math.Round(b.Rect.X' 3) &&                     Math.Round(a.Rect.Y' 3) == Math.Round(b.Rect.Y' 3) &&                     Math.Round(a.Rect.Width' 3) == Math.Round(b.Rect.Width' 3) &&                     Math.Round(a.Rect.Height' 3) == Math.Round(b.Rect.Height' 3);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectTests.cs,Parse_Should_Accept_Absolute_Value,The following statement contains a magic number: Assert.Equal(new RelativeRect(4' 5' 50' 60' RelativeUnit.Absolute)' result' Compare);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectTests.cs,Parse_Should_Accept_Absolute_Value,The following statement contains a magic number: Assert.Equal(new RelativeRect(4' 5' 50' 60' RelativeUnit.Absolute)' result' Compare);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectTests.cs,Parse_Should_Accept_Absolute_Value,The following statement contains a magic number: Assert.Equal(new RelativeRect(4' 5' 50' 60' RelativeUnit.Absolute)' result' Compare);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectTests.cs,Parse_Should_Accept_Absolute_Value,The following statement contains a magic number: Assert.Equal(new RelativeRect(4' 5' 50' 60' RelativeUnit.Absolute)' result' Compare);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectTests.cs,Parse_Should_Accept_Relative_Value,The following statement contains a magic number: Assert.Equal(new RelativeRect(0.1' 0.2' 0.4' 0.7' RelativeUnit.Relative)' result' Compare);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectTests.cs,Parse_Should_Accept_Relative_Value,The following statement contains a magic number: Assert.Equal(new RelativeRect(0.1' 0.2' 0.4' 0.7' RelativeUnit.Relative)' result' Compare);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectTests.cs,Parse_Should_Accept_Relative_Value,The following statement contains a magic number: Assert.Equal(new RelativeRect(0.1' 0.2' 0.4' 0.7' RelativeUnit.Relative)' result' Compare);
Magic Number,Avalonia.Visuals.UnitTests,RelativeRectTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RelativeRectTests.cs,Parse_Should_Accept_Relative_Value,The following statement contains a magic number: Assert.Equal(new RelativeRect(0.1' 0.2' 0.4' 0.7' RelativeUnit.Relative)' result' Compare);
Magic Number,Avalonia.Visuals.UnitTests,RenderTests_Culling,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RenderTests_Culling.cs,In_Bounds_Control_Should_Be_Rendered,The following statement contains a magic number: var container = new Canvas              {                  Width = 100'                  Height = 100'                  ClipToBounds = true'                  Children =                  {                      (target = new TestControl                      {                          Width = 10'                          Height = 10'                          [Canvas.LeftProperty] = 98'                          [Canvas.TopProperty] = 98'                      })                  }              };
Magic Number,Avalonia.Visuals.UnitTests,RenderTests_Culling,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RenderTests_Culling.cs,In_Bounds_Control_Should_Be_Rendered,The following statement contains a magic number: var container = new Canvas              {                  Width = 100'                  Height = 100'                  ClipToBounds = true'                  Children =                  {                      (target = new TestControl                      {                          Width = 10'                          Height = 10'                          [Canvas.LeftProperty] = 98'                          [Canvas.TopProperty] = 98'                      })                  }              };
Magic Number,Avalonia.Visuals.UnitTests,RenderTests_Culling,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\RenderTests_Culling.cs,In_Bounds_Control_Should_Be_Rendered,The following statement contains a magic number: var container = new Canvas              {                  Width = 100'                  Height = 100'                  ClipToBounds = true'                  Children =                  {                      (target = new TestControl                      {                          Width = 10'                          Height = 10'                          [Canvas.LeftProperty] = 98'                          [Canvas.TopProperty] = 98'                      })                  }              };
