Implementation smell,Namespace,Class,File,Method,Description
Complex Method,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,Connect,Cyclomatic complexity of the method is 15
Long Statement,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,Connect,The length of the statement  "            this.scrollViewerXY.ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.scrollViewerXY_ScrollChanged); " is 126.
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderTerrain,The following statement contains a magic number: Parallel.For(0' h' y =>  				{  					for (int x = 0; x < w; ++x)  					{  						int z = terrain.GetSurfaceLevel(x' y);    						TileData td;    						while (true)  						{  							var p = new IntVector3(x' y' z);  							td = terrain.GetTileData(p);    							if (td.IsEmptyNoWater)  							{  								z--;  								continue;  							}    							if (this.ShowWaterEnabled && td.WaterLevel > 0)  							{  								var wl = terrain.GetWaterLevel(p + Direction.Up);  								if (wl > 0)  								{  									z++;  									continue;  								}  							}    							break;  						}    						int m = MyMath.Round(MyMath.LinearInterpolation(min' max' 100' 255' z));    						var cv = GetTileColor(td);    						int r = cv.X;  						int g = cv.Y;  						int b = cv.Z;    						r = r * m / 255;  						g = g * m / 255;  						b = b * m / 255;    						var ptr = pBackBuffer + y * stride + x;    						*ptr = (uint)((r << 16) | (g << 8) | (b << 0));  					}  				});
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderTerrain,The following statement contains a magic number: Parallel.For(0' h' y =>  				{  					for (int x = 0; x < w; ++x)  					{  						int z = terrain.GetSurfaceLevel(x' y);    						TileData td;    						while (true)  						{  							var p = new IntVector3(x' y' z);  							td = terrain.GetTileData(p);    							if (td.IsEmptyNoWater)  							{  								z--;  								continue;  							}    							if (this.ShowWaterEnabled && td.WaterLevel > 0)  							{  								var wl = terrain.GetWaterLevel(p + Direction.Up);  								if (wl > 0)  								{  									z++;  									continue;  								}  							}    							break;  						}    						int m = MyMath.Round(MyMath.LinearInterpolation(min' max' 100' 255' z));    						var cv = GetTileColor(td);    						int r = cv.X;  						int g = cv.Y;  						int b = cv.Z;    						r = r * m / 255;  						g = g * m / 255;  						b = b * m / 255;    						var ptr = pBackBuffer + y * stride + x;    						*ptr = (uint)((r << 16) | (g << 8) | (b << 0));  					}  				});
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderTerrain,The following statement contains a magic number: Parallel.For(0' h' y =>  				{  					for (int x = 0; x < w; ++x)  					{  						int z = terrain.GetSurfaceLevel(x' y);    						TileData td;    						while (true)  						{  							var p = new IntVector3(x' y' z);  							td = terrain.GetTileData(p);    							if (td.IsEmptyNoWater)  							{  								z--;  								continue;  							}    							if (this.ShowWaterEnabled && td.WaterLevel > 0)  							{  								var wl = terrain.GetWaterLevel(p + Direction.Up);  								if (wl > 0)  								{  									z++;  									continue;  								}  							}    							break;  						}    						int m = MyMath.Round(MyMath.LinearInterpolation(min' max' 100' 255' z));    						var cv = GetTileColor(td);    						int r = cv.X;  						int g = cv.Y;  						int b = cv.Z;    						r = r * m / 255;  						g = g * m / 255;  						b = b * m / 255;    						var ptr = pBackBuffer + y * stride + x;    						*ptr = (uint)((r << 16) | (g << 8) | (b << 0));  					}  				});
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderTerrain,The following statement contains a magic number: Parallel.For(0' h' y =>  				{  					for (int x = 0; x < w; ++x)  					{  						int z = terrain.GetSurfaceLevel(x' y);    						TileData td;    						while (true)  						{  							var p = new IntVector3(x' y' z);  							td = terrain.GetTileData(p);    							if (td.IsEmptyNoWater)  							{  								z--;  								continue;  							}    							if (this.ShowWaterEnabled && td.WaterLevel > 0)  							{  								var wl = terrain.GetWaterLevel(p + Direction.Up);  								if (wl > 0)  								{  									z++;  									continue;  								}  							}    							break;  						}    						int m = MyMath.Round(MyMath.LinearInterpolation(min' max' 100' 255' z));    						var cv = GetTileColor(td);    						int r = cv.X;  						int g = cv.Y;  						int b = cv.Z;    						r = r * m / 255;  						g = g * m / 255;  						b = b * m / 255;    						var ptr = pBackBuffer + y * stride + x;    						*ptr = (uint)((r << 16) | (g << 8) | (b << 0));  					}  				});
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,ColorToRaw,The following statement contains a magic number: return (uint)((c.R << 16) | (c.G << 8) | (c.B << 0));
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,ColorToRaw,The following statement contains a magic number: return (uint)((c.R << 16) | (c.G << 8) | (c.B << 0));
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,IntVector3ToRaw,The following statement contains a magic number: return (uint)((c.X << 16) | (c.Y << 8) | (c.Z << 0));
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,IntVector3ToRaw,The following statement contains a magic number: return (uint)((c.X << 16) | (c.Y << 8) | (c.Z << 0));
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderSliceXY,The following statement contains a magic number: int stride = m_sliceBmpXY.BackBufferStride / 4;
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderSliceXZ,The following statement contains a magic number: int stride = m_sliceBmpXZ.BackBufferStride / 4;
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,RenderSliceYZ,The following statement contains a magic number: int stride = m_sliceBmpYZ.BackBufferStride / 4;
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,GetTileColor,The following statement contains a magic number: b = 255;
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,GetTileColor,The following statement contains a magic number: switch (td.ID)  			{  				case TileID.Undefined:  					r = g = b = 0;  					break;    				case TileID.Empty:  					r = 0;  					g = 0;  					b = 0;  					break;    				default:  					{  						var mat = td.MaterialID;    						var matInfo = Materials.GetMaterial(mat);  						var rgb = matInfo.Color.ToGameColorRGB();    						r = (byte)(rgb.R / 2);  						g = (byte)(rgb.G / 2);  						b = (byte)(rgb.B / 2);  					}  					break;  			}
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,GetTileColor,The following statement contains a magic number: switch (td.ID)  			{  				case TileID.Undefined:  					r = g = b = 0;  					break;    				case TileID.Empty:  					r = 0;  					g = 0;  					b = 0;  					break;    				default:  					{  						var mat = td.MaterialID;    						var matInfo = Materials.GetMaterial(mat);  						var rgb = matInfo.Color.ToGameColorRGB();    						r = (byte)(rgb.R / 2);  						g = (byte)(rgb.G / 2);  						b = (byte)(rgb.B / 2);  					}  					break;  			}
Magic Number,TerrainGenTest,Renderer,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\Renderer.cs,GetTileColor,The following statement contains a magic number: switch (td.ID)  			{  				case TileID.Undefined:  					r = g = b = 0;  					break;    				case TileID.Empty:  					r = 0;  					g = 0;  					b = 0;  					break;    				default:  					{  						var mat = td.MaterialID;    						var matInfo = Materials.GetMaterial(mat);  						var rgb = matInfo.Color.ToGameColorRGB();    						r = (byte)(rgb.R / 2);  						g = (byte)(rgb.G / 2);  						b = (byte)(rgb.B / 2);  					}  					break;  			}
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_timer.Interval = TimeSpan.FromMilliseconds(20);
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,OnTimerTick,The following statement contains a magic number: this.X = side / 2;
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,OnTimerTick,The following statement contains a magic number: this.Y = side / 2;
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,mapGrid_MouseMove,The following statement contains a magic number: vb.X = pos.X - vb.Width / 2 + v.X + 0.5;
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,mapGrid_MouseMove,The following statement contains a magic number: vb.X = pos.X - vb.Width / 2 + v.X + 0.5;
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,mapGrid_MouseMove,The following statement contains a magic number: vb.Y = pos.Y - vb.Height / 2 + v.Y + 0.5;
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,mapGrid_MouseMove,The following statement contains a magic number: vb.Y = pos.Y - vb.Height / 2 + v.Y + 0.5;
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.root = ((TerrainGenTest.MainWindow)(target));              return;              case 2:              this.magnifierBrush = ((System.Windows.Media.VisualBrush)(target));              return;              case 3:              this.zTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 4:              this.terrainTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 5:              this.terrainMatTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 6:              this.interiorTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.interiorMatTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 8:              this.levelSlider = ((System.Windows.Controls.Slider)(target));              return;              case 9:              this.mapGrid = ((System.Windows.Controls.Grid)(target));                            #line 126 "..\..\..\MainWindow.xaml"              this.mapGrid.MouseMove += new System.Windows.Input.MouseEventHandler(this.mapGrid_MouseMove);                            #line default              #line hidden              return;              case 10:              this.scrollViewerXY = ((System.Windows.Controls.ScrollViewer)(target));                            #line 142 "..\..\..\MainWindow.xaml"              this.scrollViewerXY.ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.scrollViewerXY_ScrollChanged);                            #line default              #line hidden              return;              case 11:              this.imageXY = ((System.Windows.Controls.Image)(target));                            #line 147 "..\..\..\MainWindow.xaml"              this.imageXY.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageXY_MouseLeftButtonDown);                            #line default              #line hidden                            #line 148 "..\..\..\MainWindow.xaml"              this.imageXY.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageXY_MouseMove);                            #line default              #line hidden              return;              case 12:              this.scrollViewerXZ = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 13:              this.imageXZ = ((System.Windows.Controls.Image)(target));                            #line 174 "..\..\..\MainWindow.xaml"              this.imageXZ.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageXZ_MouseLeftButtonDown);                            #line default              #line hidden                            #line 175 "..\..\..\MainWindow.xaml"              this.imageXZ.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageXZ_MouseMove);                            #line default              #line hidden              return;              case 14:              this.scrollViewerYZ = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 15:              this.imageYZ = ((System.Windows.Controls.Image)(target));                            #line 185 "..\..\..\MainWindow.xaml"              this.imageYZ.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageYZ_MouseLeftButtonDown);                            #line default              #line hidden                            #line 186 "..\..\..\MainWindow.xaml"              this.imageYZ.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageYZ_MouseMove);                            #line default              #line hidden              return;              }
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.root = ((TerrainGenTest.MainWindow)(target));              return;              case 2:              this.magnifierBrush = ((System.Windows.Media.VisualBrush)(target));              return;              case 3:              this.zTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 4:              this.terrainTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 5:              this.terrainMatTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 6:              this.interiorTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.interiorMatTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 8:              this.levelSlider = ((System.Windows.Controls.Slider)(target));              return;              case 9:              this.mapGrid = ((System.Windows.Controls.Grid)(target));                            #line 126 "..\..\..\MainWindow.xaml"              this.mapGrid.MouseMove += new System.Windows.Input.MouseEventHandler(this.mapGrid_MouseMove);                            #line default              #line hidden              return;              case 10:              this.scrollViewerXY = ((System.Windows.Controls.ScrollViewer)(target));                            #line 142 "..\..\..\MainWindow.xaml"              this.scrollViewerXY.ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.scrollViewerXY_ScrollChanged);                            #line default              #line hidden              return;              case 11:              this.imageXY = ((System.Windows.Controls.Image)(target));                            #line 147 "..\..\..\MainWindow.xaml"              this.imageXY.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageXY_MouseLeftButtonDown);                            #line default              #line hidden                            #line 148 "..\..\..\MainWindow.xaml"              this.imageXY.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageXY_MouseMove);                            #line default              #line hidden              return;              case 12:              this.scrollViewerXZ = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 13:              this.imageXZ = ((System.Windows.Controls.Image)(target));                            #line 174 "..\..\..\MainWindow.xaml"              this.imageXZ.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageXZ_MouseLeftButtonDown);                            #line default              #line hidden                            #line 175 "..\..\..\MainWindow.xaml"              this.imageXZ.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageXZ_MouseMove);                            #line default              #line hidden              return;              case 14:              this.scrollViewerYZ = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 15:              this.imageYZ = ((System.Windows.Controls.Image)(target));                            #line 185 "..\..\..\MainWindow.xaml"              this.imageYZ.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageYZ_MouseLeftButtonDown);                            #line default              #line hidden                            #line 186 "..\..\..\MainWindow.xaml"              this.imageYZ.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageYZ_MouseMove);                            #line default              #line hidden              return;              }
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.root = ((TerrainGenTest.MainWindow)(target));              return;              case 2:              this.magnifierBrush = ((System.Windows.Media.VisualBrush)(target));              return;              case 3:              this.zTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 4:              this.terrainTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 5:              this.terrainMatTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 6:              this.interiorTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.interiorMatTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 8:              this.levelSlider = ((System.Windows.Controls.Slider)(target));              return;              case 9:              this.mapGrid = ((System.Windows.Controls.Grid)(target));                            #line 126 "..\..\..\MainWindow.xaml"              this.mapGrid.MouseMove += new System.Windows.Input.MouseEventHandler(this.mapGrid_MouseMove);                            #line default              #line hidden              return;              case 10:              this.scrollViewerXY = ((System.Windows.Controls.ScrollViewer)(target));                            #line 142 "..\..\..\MainWindow.xaml"              this.scrollViewerXY.ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.scrollViewerXY_ScrollChanged);                            #line default              #line hidden              return;              case 11:              this.imageXY = ((System.Windows.Controls.Image)(target));                            #line 147 "..\..\..\MainWindow.xaml"              this.imageXY.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageXY_MouseLeftButtonDown);                            #line default              #line hidden                            #line 148 "..\..\..\MainWindow.xaml"              this.imageXY.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageXY_MouseMove);                            #line default              #line hidden              return;              case 12:              this.scrollViewerXZ = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 13:              this.imageXZ = ((System.Windows.Controls.Image)(target));                            #line 174 "..\..\..\MainWindow.xaml"              this.imageXZ.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageXZ_MouseLeftButtonDown);                            #line default              #line hidden                            #line 175 "..\..\..\MainWindow.xaml"              this.imageXZ.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageXZ_MouseMove);                            #line default              #line hidden              return;              case 14:              this.scrollViewerYZ = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 15:              this.imageYZ = ((System.Windows.Controls.Image)(target));                            #line 185 "..\..\..\MainWindow.xaml"              this.imageYZ.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageYZ_MouseLeftButtonDown);                            #line default              #line hidden                            #line 186 "..\..\..\MainWindow.xaml"              this.imageYZ.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageYZ_MouseMove);                            #line default              #line hidden              return;              }
Magic Number,TerrainGenTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\TerrainGenTest\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.root = ((TerrainGenTest.MainWindow)(target));              return;              case 2:              this.magnifierBrush = ((System.Windows.Media.VisualBrush)(target));              return;              case 3:              this.zTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 4:              this.terrainTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 5:              this.terrainMatTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 6:              this.interiorTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 7:              this.interiorMatTextBlock = ((System.Windows.Controls.TextBlock)(target));              return;              case 8:              this.levelSlider = ((System.Windows.Controls.Slider)(target));              return;              case 9:              this.mapGrid = ((System.Windows.Controls.Grid)(target));                            #line 126 "..\..\..\MainWindow.xaml"              this.mapGrid.MouseMove += new System.Windows.Input.MouseEventHandler(this.mapGrid_MouseMove);                            #line default              #line hidden              return;              case 10:              this.scrollViewerXY = ((System.Windows.Controls.ScrollViewer)(target));                            #line 142 "..\..\..\MainWindow.xaml"              this.scrollViewerXY.ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.scrollViewerXY_ScrollChanged);                            #line default              #line hidden              return;              case 11:              this.imageXY = ((System.Windows.Controls.Image)(target));                            #line 147 "..\..\..\MainWindow.xaml"              this.imageXY.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageXY_MouseLeftButtonDown);                            #line default              #line hidden                            #line 148 "..\..\..\MainWindow.xaml"              this.imageXY.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageXY_MouseMove);                            #line default              #line hidden              return;              case 12:              this.scrollViewerXZ = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 13:              this.imageXZ = ((System.Windows.Controls.Image)(target));                            #line 174 "..\..\..\MainWindow.xaml"              this.imageXZ.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageXZ_MouseLeftButtonDown);                            #line default              #line hidden                            #line 175 "..\..\..\MainWindow.xaml"              this.imageXZ.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageXZ_MouseMove);                            #line default              #line hidden              return;              case 14:              this.scrollViewerYZ = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 15:              this.imageYZ = ((System.Windows.Controls.Image)(target));                            #line 185 "..\..\..\MainWindow.xaml"              this.imageYZ.MouseLeftButtonDown += new System.Windows.Input.MouseButtonEventHandler(this.imageYZ_MouseLeftButtonDown);                            #line default              #line hidden                            #line 186 "..\..\..\MainWindow.xaml"              this.imageYZ.MouseMove += new System.Windows.Input.MouseEventHandler(this.imageYZ_MouseMove);                            #line default              #line hidden              return;              }
