Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The length of the statement  "				Color FillColor = useBlackBackgroundCheckbox.Checked ? new Color(255' 255' 255' (int)(alphaSlider.Value)) : new Color(0' 0' 0' (int)(alphaSlider.Value)); " is 153.
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: alphaSlider.View.TextColor = new Color(127' 127' 127);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: useBlackBackgroundCheckbox = new UI.CheckBox(5' 30 + 12' "Draw Black Background");
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: useBlackBackgroundCheckbox = new UI.CheckBox(5' 30 + 12' "Draw Black Background");
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: useBlackBackgroundCheckbox = new UI.CheckBox(5' 30 + 12' "Draw Black Background");
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: useBlackBackgroundCheckbox.TextColor = new Color(127' 127' 127);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: useBlackBackgroundCheckbox.TextColor = new Color(127' 127' 127);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,ComponentRendering,The following statement contains a magic number: useBlackBackgroundCheckbox.TextColor = new Color(127' 127' 127);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: redImageBuffer.Attach(backBuffer' new blender_gray(distBetween)' distBetween' 2' 8);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: redImageBuffer.Attach(backBuffer' new blender_gray(distBetween)' distBetween' 2' 8);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: greenImageBuffer.Attach(backBuffer' new blender_gray(distBetween)' distBetween' 1' 8);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: blueImageBuffer.Attach(backBuffer' new blender_gray(distBetween)' distBetween' 0' 8);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: Color clearColor = useBlackBackgroundCheckbox.Checked ? new Color(0' 0' 0) : new Color(255' 255' 255);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: Color clearColor = useBlackBackgroundCheckbox.Checked ? new Color(0' 0' 0) : new Color(255' 255' 255);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: Color clearColor = useBlackBackgroundCheckbox.Checked ? new Color(0' 0' 0) : new Color(255' 255' 255);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: Color FillColor = useBlackBackgroundCheckbox.Checked ? new Color(255' 255' 255' (int)(alphaSlider.Value)) : new Color(0' 0' 0' (int)(alphaSlider.Value));
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: Color FillColor = useBlackBackgroundCheckbox.Checked ? new Color(255' 255' 255' (int)(alphaSlider.Value)) : new Color(0' 0' 0' (int)(alphaSlider.Value));
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: Color FillColor = useBlackBackgroundCheckbox.Checked ? new Color(255' 255' 255' (int)(alphaSlider.Value)) : new Color(0' 0' 0' (int)(alphaSlider.Value));
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse er = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 - 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eg = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2 + 0.87 * 50' Height / 2 - 0.5 * 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eb = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2' Height / 2 + 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eb = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2' Height / 2 + 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eb = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2' Height / 2 + 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eb = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2' Height / 2 + 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eb = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2' Height / 2 + 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,OnDraw,The following statement contains a magic number: VertexSource.Ellipse eb = new MatterHackers.Agg.VertexSource.Ellipse(Width / 2' Height / 2 + 50' 100' 100' 100);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,Main,The following statement contains a magic number: var systemWindow = new SystemWindow(320' 320);
Magic Number,MatterHackers.Agg,ComponentRendering,D:\research\architectureSmells\repos\MatterHackers_agg-sharp\examples\component_rendering\component_rendering.cs,Main,The following statement contains a magic number: var systemWindow = new SystemWindow(320' 320);
