Implementation smell,Namespace,Class,File,Method,Description
Long Method,AvaTax_Calc_DirectSOAP_csharp,AdjustTaxTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\AdjustTaxTest.cs,Test,The method has 143 lines of code.
Long Method,AvaTax_Calc_DirectSOAP_csharp,GetTaxTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\GetTaxTest.cs,Test,The method has 138 lines of code.
Complex Method,AvaTax_Calc_DirectSOAP_csharp,GetTaxHistoryTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\GetTaxHistoryTest.cs,Test,Cyclomatic complexity of the method is 8
Long Statement,AvaTax_Calc_DirectSOAP_csharp,AdjustTaxTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\AdjustTaxTest.cs,Test,The length of the statement  "			Console.WriteLine ("Document Code: {0}\nTotal Tax: {1}\nDocument Version: {2}"' getTaxRequest.DocCode' adjustTaxResult.TotalTax.ToString ()' adjustTaxResult.Version.ToString ()); " is 178.
Long Statement,AvaTax_Calc_DirectSOAP_csharp,GetTaxHistoryTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\GetTaxHistoryTest.cs,Test,The length of the statement  "			Console.WriteLine ("Document Code: {0}\nTotal Tax: {1}"' getTaxHistoryRequest.DocCode' getTaxHistoryResult.GetTaxResult.TotalTax.ToString ()); " is 142.
Long Statement,AvaTax_Calc_DirectSOAP_csharp,ValidateAddressTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\ValidateAddressTest.cs,Test,The length of the statement  "			Console.WriteLine ("{0}\n{1}\n{2}\n{3}' {4} {5}\nCountry: {6}"' validatedAddress.Line1' validatedAddress.Line2' validatedAddress.Line3' validatedAddress.City' validatedAddress.Region' validatedAddress.PostalCode' validatedAddress.Country); " is 239.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnValidateOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnValidateOperationCompleted,The length of the statement  "		this.ValidateCompleted (this' new ValidateCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 145.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnPingOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnPingOperationCompleted,The length of the statement  "		this.PingCompleted (this' new PingCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 137.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnIsAuthorizedOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,OnIsAuthorizedOperationCompleted,The length of the statement  "		this.IsAuthorizedCompleted (this' new IsAuthorizedCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 153.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.AddressService,AddressSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\AddressService\Reference.cs,IsLocalFileSystemWebService,The length of the statement  "	if (((wsUri.Port >= 1024) && (string.Compare (wsUri.Host' "localHost"' System.StringComparison.OrdinalIgnoreCase) == 0))) { " is 123.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,ReconcileTaxHistoryAsync,The length of the statement  "		this.ReconcileTaxHistoryOperationCompleted = new System.Threading.SendOrPostCallback (this.OnReconcileTaxHistoryOperationCompleted); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnReconcileTaxHistoryOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnReconcileTaxHistoryOperationCompleted,The length of the statement  "		this.ReconcileTaxHistoryCompleted (this' new ReconcileTaxHistoryCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 167.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnAdjustTaxOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnAdjustTaxOperationCompleted,The length of the statement  "		this.AdjustTaxCompleted (this' new AdjustTaxCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 147.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnApplyPaymentOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnApplyPaymentOperationCompleted,The length of the statement  "		this.ApplyPaymentCompleted (this' new ApplyPaymentCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 153.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnPingOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnPingOperationCompleted,The length of the statement  "		this.PingCompleted (this' new PingCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 137.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnIsAuthorizedOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnIsAuthorizedOperationCompleted,The length of the statement  "		this.IsAuthorizedCompleted (this' new IsAuthorizedCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 153.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,TaxSummaryFetchAsync,The length of the statement  "		this.TaxSummaryFetchOperationCompleted = new System.Threading.SendOrPostCallback (this.OnTaxSummaryFetchOperationCompleted); " is 124.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnTaxSummaryFetchOperationCompleted,The length of the statement  "		System.Web.Services.Protocols.InvokeCompletedEventArgs invokeArgs = ((System.Web.Services.Protocols.InvokeCompletedEventArgs)(arg)); " is 132.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,OnTaxSummaryFetchOperationCompleted,The length of the statement  "		this.TaxSummaryFetchCompleted (this' new TaxSummaryFetchCompletedEventArgs (invokeArgs.Results' invokeArgs.Error' invokeArgs.Cancelled' invokeArgs.UserState)); " is 159.
Long Statement,AvaTax_Calc_DirectSOAP_csharp.TaxService,TaxSvc,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\Web References\TaxService\Reference.cs,IsLocalFileSystemWebService,The length of the statement  "	if (((wsUri.Port >= 1024) && (string.Compare (wsUri.Host' "localHost"' System.StringComparison.OrdinalIgnoreCase) == 0))) { " is 123.
Magic Number,AvaTax_Calc_DirectSOAP_csharp,AdjustTaxTest,C:\repos\avadev_AvaTax-Calc-DirectSOAP-csharp\AvaTax-Calc-DirectSOAP-csharp\AdjustTaxTest.cs,Test,The following statement contains a magic number: try {  	TaxSvc taxSvc = new TaxSvc ();  	taxSvc.Url = serviceUrl + endpoint;  	UsernameToken token = new UsernameToken (accountNumber' licenseKey' PasswordOption.SendPlainText);  	SoapContext requestContext = taxSvc.RequestSoapContext;  	requestContext.Security.Tokens.Add (token);  	requestContext.Security.Timestamp.TtlInSeconds = 300;  	Profile profile = new Profile ();  	profile.Client = "AvaTaxSample";  	taxSvc.ProfileValue = profile;  	GetTaxRequest getTaxRequest = new GetTaxRequest ();  	// Document Level Parameters  	// Required Request Parameters  	getTaxRequest.CustomerCode = "ABC4335";  	getTaxRequest.DocDate = DateTime.Parse ("2014-01-01");  	// getTaxRequest.Lines is also required'   	// and is presented later in this file.  	// Best Practice Request Parameters  	getTaxRequest.CompanyCode = "APITrialCompany";  	getTaxRequest.DocCode = "INV001";  	getTaxRequest.DetailLevel = DetailLevel.Tax;  	getTaxRequest.DocType = DocumentType.SalesInvoice;  	getTaxRequest.Commit = true;  	// Situational Request Parameters	  	// getTaxRequest.BusinessIdentificationNo = "234243";  	// getTaxRequest.CustomerUsageType = "G";  	// getTaxRequest.ExemptionNo = "12345";  	// getTaxRequest.Discount = 50;  	// getTaxRequest.LocationCode = "01";  	// getTaxRequest.ServiceMode = ServiceMode.Automatic;	  	// getTaxRequest.TaxOverride.TaxOverrideType = TaxOverrideType.TaxDate;  	// getTaxRequest.TaxOverride.Reason = "Adjustment for return";  	// getTaxRequest.TaxOverride.TaxDate = DateTime.Parse("2013-07-01");      	// Optional Request Parameters  	getTaxRequest.PurchaseOrderNo = "PO123456";  	getTaxRequest.ReferenceCode = "ref123456";  	getTaxRequest.PosLaneCode = "09";  	getTaxRequest.CurrencyCode = "USD";  	getTaxRequest.ExchangeRate = Convert.ToDecimal (1.0);  	getTaxRequest.ExchangeRateEffDate = DateTime.Parse ("2013-01-01");  	getTaxRequest.SalespersonCode = "Bill Sales";  	BaseAddress[] addresses = new BaseAddress[3];  	BaseAddress address1 = new BaseAddress ();  	address1.AddressCode = "01";  	address1.Line1 = "45 Fremont Street";  	address1.City = "San Francisco";  	address1.Region = "CA";  	addresses [0] = address1;  	BaseAddress address2 = new BaseAddress ();  	address2.AddressCode = "02";  	address2.Line1 = "118 N Clark St";  	address2.Line2 = "Suite 100";  	address2.Line3 = "ATTN Accounts Payable";  	address2.City = "Chicago";  	address2.Region = "IL";  	address2.PostalCode = "60602";  	address2.Country = "US";  	addresses [1] = address2;  	BaseAddress address3 = new BaseAddress ();  	address3.AddressCode = "03";  	address3.Latitude = "47.627935";  	address3.Longitude = "-122.51702";  	addresses [2] = address3;  	getTaxRequest.Addresses = addresses;  	getTaxRequest.OriginCode = "01";  	getTaxRequest.DestinationCode = "03";  	// Line Data  	// Required Parameters  	Line[] lines = new Line[3];  	Line line1 = new Line ();  	line1.No = "0001";  	line1.ItemCode = "N543";  	line1.Qty = Convert.ToDecimal (1);  	line1.Amount = Convert.ToDecimal (10);  	line1.OriginCode = "01";  	line1.DestinationCode = "02";  	// Best Practice Request Parameters  	line1.Description = "Red Size 7 Widget";  	line1.TaxCode = "NT";  	// Situational Request Parameters  	// line1.CustomerUsageType = "L";  	// line1.ExemptionNo = "12345";  	// line1.Discounted = true;  	// line1.TaxIncluded = true;  	// line1.TaxOverride.TaxOverrideType = TaxOverrideType.TaxDate;  	// line1.TaxOverride.Reason = "Adjustment for return";  	// line1.TaxOverride.TaxDate = DateTime.Parse("2013-07-01");  	// Optional Request Parameters  	line1.Ref1 = "ref123";  	line1.Ref2 = "ref456";  	lines [0] = line1;  	Line line2 = new Line ();  	line2.No = "0002";  	line2.ItemCode = "T345";  	line2.Qty = Convert.ToDecimal (4);  	line2.Amount = Convert.ToDecimal (200);  	line2.OriginCode = "01";  	line2.DestinationCode = "03";  	line2.Description = "Size 10 Green Running Shoe";  	line2.TaxCode = "PC030147";  	lines [1] = line2;  	Line line3 = new Line ();  	line3.No = "0002-FR";  	line3.ItemCode = "FREIGHT";  	line3.Qty = Convert.ToDecimal (1);  	line3.Amount = Convert.ToDecimal (15);  	line3.OriginCode = "01";  	line3.DestinationCode = "03";  	line3.Description = "Shipping Charge";  	line3.TaxCode = "FR";  	lines [2] = line3;  	getTaxRequest.Lines = lines;  	AdjustTaxRequest adjustTaxRequest = new AdjustTaxRequest ();  	adjustTaxRequest.GetTaxRequest = getTaxRequest;  	adjustTaxRequest.AdjustmentReason = 4;  	// quantity change  	//adjustTaxRequest.AdjustmentDescription = "Transaction Adjusted for Testing";  	AdjustTaxResult adjustTaxResult = taxSvc.AdjustTax (adjustTaxRequest);  	Console.WriteLine ("AdjustTaxTest Result: {0}"' adjustTaxResult.ResultCode.ToString ());  	if (adjustTaxResult.ResultCode != SeverityLevel.Success) {  		foreach (Message message in adjustTaxResult.Messages) {  			Console.WriteLine ("{0}\n{1}\n{2}\n{3}"' message.Name' message.Summary' message.RefersTo' message.Details);  		}  	}  	else {  		Console.WriteLine ("Document Code: {0}\nTotal Tax: {1}\nDocument Version: {2}"' getTaxRequest.DocCode' adjustTaxResult.TotalTax.ToString ()' adjustTaxResult.Version.ToString ());  		foreach (TaxLine taxLine in adjustTaxResult.TaxLines) {  			Console.WriteLine ("    Line {0} Tax: {1}"' taxLine.No' taxLine.Tax.ToString ());  			foreach (TaxDetail taxDetail in taxLine.TaxDetails) {  				Console.WriteLine ("        {0} Tax: {1}"' taxDetail.JurisName' taxDetail.Tax.ToString ());  			}  		}  	}  }  catch (Exception e) {  	Console.WriteLine ("Exception: {0}"' e.Message);  }  
