Implementation smell,Namespace,Class,File,Method,Description
Complex Method,LeanIX.Api.Common,ApiClient,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\Common\ApiClient.cs,invokeAPI,Cyclomatic complexity of the method is 17
Long Parameter List,LeanIX.Api.Common,ApiClient,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\Common\ApiClient.cs,invokeAPI,The method has 6 parameters.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getBusinessCapabilities,The length of the statement  "		paramStr = (relations != null && relations is DateTime) ? ((DateTime)(object)relations).ToString ("u") : Convert.ToString (relations); " is 134.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasChildren,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasChildren".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 158.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createFactSheetHasChild,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasChildren".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 158.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasChild,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasChildren/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 255.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateFactSheetHasChild,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasChildren/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 255.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteFactSheetHasChild,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasChildren/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 255.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasDocuments,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasDocuments".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 159.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createFactSheetHasDocument,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasDocuments".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 159.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasDocument,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasDocuments/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 256.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateFactSheetHasDocument,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasDocuments/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 256.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteFactSheetHasDocument,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasDocuments/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 256.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasLifecycles,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasLifecycles".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 160.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createFactSheetHasLifecycle,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasLifecycles".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 160.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasLifecycle,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasLifecycles/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateFactSheetHasLifecycle,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasLifecycles/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteFactSheetHasLifecycle,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasLifecycles/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getUserSubscriptions,The length of the statement  "	var path = "/businessCapabilities/{ID}/userSubscriptions".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 155.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createUserSubscription,The length of the statement  "	var path = "/businessCapabilities/{ID}/userSubscriptions".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 155.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getUserSubscription,The length of the statement  "	var path = "/businessCapabilities/{ID}/userSubscriptions/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 252.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateUserSubscription,The length of the statement  "	var path = "/businessCapabilities/{ID}/userSubscriptions/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 252.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteUserSubscription,The length of the statement  "	var path = "/businessCapabilities/{ID}/userSubscriptions/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 252.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasPredecessors,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasPredecessors".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 162.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createFactSheetHasPredecessor,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasPredecessors".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 162.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasPredecessor,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasPredecessors/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 259.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateFactSheetHasPredecessor,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasPredecessors/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 259.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteFactSheetHasPredecessor,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasPredecessors/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 259.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasSuccessors,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasSuccessors".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 160.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createFactSheetHasSuccessor,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasSuccessors".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 160.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasSuccessor,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasSuccessors/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateFactSheetHasSuccessor,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasSuccessors/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteFactSheetHasSuccessor,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasSuccessors/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasRequiresAll,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequires".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 158.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createFactSheetHasRequires,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequires".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 158.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasRequires,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequires/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 255.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateFactSheetHasRequires,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequires/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 255.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteFactSheetHasRequires,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequires/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 255.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasRequiredByAll,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequiredby".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 160.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createFactSheetHasRequiredby,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequiredby".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 160.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getFactSheetHasRequiredby,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequiredby/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateFactSheetHasRequiredby,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequiredby/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteFactSheetHasRequiredby,The length of the statement  "	var path = "/businessCapabilities/{ID}/factSheetHasRequiredby/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 257.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getServiceHasBusinessCapabilities,The length of the statement  "	var path = "/businessCapabilities/{ID}/serviceHasBusinessCapabilities".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 168.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getServiceHasBusinessCapabilities,The length of the statement  "			return (List<ServiceHasBusinessCapability>)ApiClient.deserialize (response' typeof(List<ServiceHasBusinessCapability>)); " is 120.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createServiceHasBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}/serviceHasBusinessCapabilities".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 168.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getServiceHasBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}/serviceHasBusinessCapabilities/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 265.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateServiceHasBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}/serviceHasBusinessCapabilities/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 265.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteServiceHasBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}/serviceHasBusinessCapabilities/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 265.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getProcessHasBusinessCapabilities,The length of the statement  "	var path = "/businessCapabilities/{ID}/processHasBusinessCapabilities".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 168.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getProcessHasBusinessCapabilities,The length of the statement  "			return (List<ProcessHasBusinessCapability>)ApiClient.deserialize (response' typeof(List<ProcessHasBusinessCapability>)); " is 120.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,createProcessHasBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}/processHasBusinessCapabilities".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 168.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getProcessHasBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}/processHasBusinessCapabilities/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 265.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,updateProcessHasBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}/processHasBusinessCapabilities/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 265.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,deleteProcessHasBusinessCapability,The length of the statement  "	var path = "/businessCapabilities/{ID}/processHasBusinessCapabilities/{relationID}".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())).Replace ("{" + "relationID" + "}"' apiClient.escapeString (relationID.ToString ())); " is 265.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getProjectHasBusinessCapabilities,The length of the statement  "	var path = "/businessCapabilities/{ID}/projectHasBusinessCapabilities".Replace ("{format}"' "json").Replace ("{" + "ID" + "}"' apiClient.escapeString (ID.ToString ())); " is 168.
Long Statement,LeanIX.Api,BusinessCapabilitiesApi,C:\repos\leanix_leanix-sdk-csharp\src\LeanIX\Api\BusinessCapabilitiesApi.cs,getProjectHasBusinessCapabilities,The length of the statement  "			return (List<ProjectHasBusinessCapability>)ApiClient.deserialize (response' typeof(List<ProjectHasBusinessCapability>)); " is 120.
