Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,Cyclomatic complexity of the method is 30
Long Identifier,Kinect.Semaphore.Utils,ListViewItemBehaviour,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\Utils\ListViewItemBehaviour.cs,,The length of the parameter IsBroughtIntoViewWhenSelectedProperty is 37.
Long Statement,Kinect.Semaphore.UserControls,MessageUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\MessageUserControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Kinect.Semaphore;component/usercontrols/messageusercontrol.xaml"' System.UriKind.Relative); " is 137.
Long Statement,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Kinect.Semaphore;component/usercontrols/userusercontrol.xaml"' System.UriKind.Relative); " is 134.
Long Statement,XamlGeneratedNamespace,GeneratedInternalTypeHelper,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\obj\x86\Debug\GeneratedInternalTypeHelper.g.cs,CreateInstance,The length of the statement  "            return System.Activator.CreateInstance(type' ((System.Reflection.BindingFlags.Public | System.Reflection.BindingFlags.NonPublic)  " is 128.
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
Magic Number,Kinect.Semaphore.UserControls,UserUserControl,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Semaphore\UserControls\UserUserControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Spine = ((System.Windows.Shapes.Ellipse)(target));              return;              case 2:              this.UserId = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Head = ((System.Windows.Shapes.Ellipse)(target));              return;              case 4:              this.ShoulderCenter = ((System.Windows.Shapes.Rectangle)(target));              return;              case 5:              this.ShoulderRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 6:              this.ShoulderLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 7:              this.ElbowLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 8:              this.ElbowRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 9:              this.WristLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 10:              this.WristRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 11:              this.HandLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 12:              this.HandRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 13:              this.HipRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 14:              this.HipLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 15:              this.KneeLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 16:              this.KneeRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 17:              this.AnkleLeft = ((System.Windows.Shapes.Ellipse)(target));              return;              case 18:              this.AnkleRight = ((System.Windows.Shapes.Ellipse)(target));              return;              case 19:              this.FootLeft = ((System.Windows.Shapes.Rectangle)(target));              return;              case 20:              this.FootRight = ((System.Windows.Shapes.Rectangle)(target));              return;              case 21:              this.Winner = ((System.Windows.Controls.TextBlock)(target));              return;              case 22:              this.CalibrationCounter = ((System.Windows.Controls.TextBlock)(target));              return;              case 23:              this.LeftUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 24:              this.RightUpperArm = ((System.Windows.Shapes.Line)(target));              return;              case 25:              this.LeftLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 26:              this.RightLowerArm = ((System.Windows.Shapes.Line)(target));              return;              case 27:              this.LeftUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 28:              this.RightUpperLeg = ((System.Windows.Shapes.Line)(target));              return;              case 29:              this.LeftLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              case 30:              this.RightLowerLeg = ((System.Windows.Shapes.Line)(target));              return;              }
