Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Registration.IntegrationTests.PricedOrderViewModelGeneratorFixture,when_reading_order,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\PricedOrderViewModelGeneratorFixture.cs,then_creates_model_with_expiration_date_and_version,The length of the statement  "                Assert.InRange(dto.ReservationExpirationDate.Value' orderPlaced.ReservationAutoExpiration.AddSeconds(-1)' orderPlaced.ReservationAutoExpiration.AddSeconds(1)); " is 159.
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_created_then_adds_seat,The following statement contains a magic number: Assert.Equal(200' dto.Price);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_created_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'                  Quantity = 100'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_created_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'                  Quantity = 100'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_created_then_add_seats_command_sent,The following statement contains a magic number: Assert.Equal(100' e.Quantity);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_updated_then_updates_seat_on_conference_dto,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_updated_then_updates_seat_on_conference_dto,The following statement contains a magic number: this.sut.Handle(new SeatUpdated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "newseat"'                  Description = "newdescription"'                  Price = 100'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_updated_then_updates_seat_on_conference_dto,The following statement contains a magic number: Assert.Equal(100' dto.Price);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_added_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'                  Quantity = 100'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_added_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'                  Quantity = 100'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_added_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatUpdated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "newseat"'                  Description = "newdescription"'                  Price = 100'                  Quantity = 200'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_added_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatUpdated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "newseat"'                  Description = "newdescription"'                  Price = 100'                  Quantity = 200'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_added_then_add_seats_command_sent,The following statement contains a magic number: Assert.Equal(100' e.Quantity);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_removed_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'                  Quantity = 100'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_removed_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'                  Quantity = 100'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_removed_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatUpdated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "newseat"'                  Description = "newdescription"'                  Price = 100'                  Quantity = 50'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_removed_then_add_seats_command_sent,The following statement contains a magic number: this.sut.Handle(new SeatUpdated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "newseat"'                  Description = "newdescription"'                  Price = 100'                  Quantity = 50'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_removed_then_add_seats_command_sent,The following statement contains a magic number: Assert.Equal(50' e.Quantity);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_available_seats_change_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_available_seats_change_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new AvailableSeatsChanged              {                  SourceId = conferenceId'                  Version = 1'                  Seats = new[] { new SeatQuantity { SeatType = seatId' Quantity = 200 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_available_seats_change_then_updates_remaining_quantity,The following statement contains a magic number: Assert.Equal(200' dto.Price);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_available_seats_change_then_updates_remaining_quantity,The following statement contains a magic number: Assert.Equal(200' dto.AvailableQuantity);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_reserved_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_reserved_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new AvailableSeatsChanged              {                  SourceId = conferenceId'                  Version = 1'                  Seats = new[] { new SeatQuantity { SeatType = seatId' Quantity = 200 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_reserved_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatsReserved              {                  SourceId = conferenceId'                  Version = 2'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = -50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_reserved_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatsReserved              {                  SourceId = conferenceId'                  Version = 2'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = -50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_reserved_then_updates_remaining_quantity,The following statement contains a magic number: Assert.Equal(200' dto.Price);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_reserved_then_updates_remaining_quantity,The following statement contains a magic number: Assert.Equal(150' dto.AvailableQuantity);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_reserved_then_updates_remaining_quantity,The following statement contains a magic number: Assert.Equal(2' dto.SeatsAvailabilityVersion);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new AvailableSeatsChanged              {                  SourceId = conferenceId'                  Version = 1'                  Seats = new[] { new SeatQuantity { SeatType = seatId' Quantity = 200 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatsReserved              {                  SourceId = conferenceId'                  Version = 2'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = -50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatsReserved              {                  SourceId = conferenceId'                  Version = 2'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = -50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatsReservationCancelled              {                  SourceId = conferenceId'                  Version = 3'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = 50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: this.sut.Handle(new SeatsReservationCancelled              {                  SourceId = conferenceId'                  Version = 3'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = 50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: Assert.Equal(200' dto.Price);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: Assert.Equal(200' dto.AvailableQuantity);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seats_are_released_then_updates_remaining_quantity,The following statement contains a magic number: Assert.Equal(3' dto.SeatsAvailabilityVersion);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: this.sut.Handle(new AvailableSeatsChanged              {                  SourceId = conferenceId'                  Version = 1'                  Seats = new[] { new SeatQuantity { SeatType = seatId' Quantity = 200 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: this.sut.Handle(new SeatsReserved              {                  SourceId = conferenceId'                  Version = 2'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = -50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: this.sut.Handle(new SeatsReserved              {                  SourceId = conferenceId'                  Version = 2'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = -50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: this.sut.Handle(new SeatsReserved              {                  SourceId = conferenceId'                  Version = 2'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = -50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: this.sut.Handle(new SeatsReserved              {                  SourceId = conferenceId'                  Version = 2'                  AvailableSeatsChanged = new[] { new SeatQuantity { SeatType = seatId' Quantity = -50 } }              });
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: Assert.Equal(200' dto.Price);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: Assert.Equal(150' dto.AvailableQuantity);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_equal_to_last_update_then_event_is_ignored,The following statement contains a magic number: Assert.Equal(2' dto.SeatsAvailabilityVersion);
Magic Number,Registration.Tests.ConferenceViewModelGeneratorFixture,given_existing_conference,C:\research\architectureSmells\repos\mspnp_cqrs-journey\source\Conference\Registration.IntegrationTests\ConferenceViewModelGeneratorFixture.cs,when_seat_availability_update_event_has_version_lower_than_last_update_then_event_is_ignored,The following statement contains a magic number: this.sut.Handle(new SeatCreated              {                  ConferenceId = conferenceId'                  SourceId = seatId'                  Name = "seat"'                  Description = "description"'                  Price = 200'              });
