Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.GeneralHandTests,HandParserGeneralHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\GeneralHandTests\HandParserGeneralHandTests.cs,HandParserGeneralHandTests,The method has 8 parameters. Parameters: site' expectedHandId' expectedDateOfHand' expectedDealerButtonPosition' expectedNumberOfPlayers' expectedRake' expectedPotSize' handFile
Long Parameter List,HandHistories.Parser.UnitTests.Utils.AllInActionHelperTests,AllInActionHelperTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Utils\AllInActionHelperTests\AllInActionHelperTests.AllInActionType.cs,TestAllInActionHelper,The method has 5 parameters. Parameters: playerName' amount' street' actions' expectedAllInActionType
Long Identifier,HandHistories.Parser.UnitTests.Parsers.PerformanceTest,HandParserPerformanceTest,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\PerformanceTests\HandParserPerformanceTests.cs,Performance_Parse1000Hands,The length of the parameter ExecutionTimeLessThanFiveSeconds is 32.
Long Statement,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_RaisesReachesCap_Works,The length of the statement  "                GetPokerStarsFastParser().ParseRegularActionLine(@"WANGZHEGL: raises $7.10 to $9.01 and has reached the $10 cap"' 9' Street.Preflop); " is 133.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.GeneralHandTests,HandParserGeneralHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\GeneralHandTests\HandParserGeneralHandTests.cs,ParseNumPlayers_Works,The length of the statement  "            Assert.AreEqual(_expectedNumberOfPlayers' GetParser().ParseNumPlayers(_handText)' "IHandHistoryParser: ParseNumPlayers"); " is 121.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.IsValidHandTests,HandParserValidHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\IsValidHandTests\HandParserValidHandTests.cs,SummaryParser_InvalidHand_RethrowFalse_ReturnsNull,The length of the statement  "            Assert.IsNull(GetSummmaryParser().ParseFullHandSummary(handText' false)' "IHandHistorySummaryParser: ParseFullHandSummary"); " is 124.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.IsValidHandTests,HandParserValidHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\IsValidHandTests\HandParserValidHandTests.cs,SummaryParser_InvalidHand_RethrowTrue_ThrowsException,The length of the statement  "            Assert.Throws<InvalidHandException>(() => GetSummmaryParser().ParseFullHandSummary(handText' true)' "IHandHistorySummaryParser: ParseFullHandSummary"); " is 151.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.IsValidHandTests,HandParserValidHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\IsValidHandTests\HandParserValidHandTests.cs,FullParser_InvalidHand_RethrowTrue_ThrowsException,The length of the statement  "            Assert.Throws<InvalidHandException>(() => GetParser().ParseFullHandHistory(handText' true)' "IHandHistorySummaryParser: ParseFullHandSummary"); " is 143.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.IsValidHandTests,HandParserValidHandTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\IsValidHandTests\HandParserValidHandTests.cs,IsHandCancelled_Works,The length of the statement  "            Assert.IsTrue(GetSummmaryParser().IsValidOrCancelledHand(cancelledHandText' out isCancelled)' "IHandHistorySummaryParser: IsCancelledHand"); " is 140.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Limits,HandParserLimitTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Limits\HandParserLimitTests.cs,TestTLimit,The length of the statement  "            Assert.AreEqual(expectedLimitString.Replace("e"' "€")' GetSummmaryParser().ParseLimit(handText).ToString(CultureInfo.InvariantCulture)' "IHandHistorySummaryParser: ParseLimit"); " is 177.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Limits,HandParserLimitTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Limits\HandParserLimitTests.cs,TestTLimit,The length of the statement  "            Assert.AreEqual(expectedLimitString.Replace("e"' "€")' GetParser().ParseLimit(handText).ToString(CultureInfo.InvariantCulture)' "IHandHistoryParser: ParseLimit"); " is 162.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Limits,HandParserLimitTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Limits\HandParserLimitTests.cs,ParseLimit_AnteTable_Correct,The length of the statement  "            Assert.AreEqual(expectedLimitString' GetParser().ParseFullHandHistory(handText).GameDescription.Limit.ToString().Replace('''' '.')' "IHandHistoryParser: ParseLimit"); " is 166.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Seats,HandParserSeatTypeTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Seats\HandParserSeatTypeTests.cs,TestSeatType,The length of the statement  "            string handText = SampleHandHistoryRepository.GetSeatExampleHandHistoryText(PokerFormat.CashGame' Site' expectedSeatType); " is 122.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Seats,HandParserSeatTypeTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Seats\HandParserSeatTypeTests.cs,TestSeatType,The length of the statement  "            Assert.AreEqual(expectedSeatType' GetSummmaryParser().ParseSeatType(handText)' "IHandHistorySummaryParser: ParseSeatType"); " is 123.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.SplitUpMultipleHandsTests,HandParserSplitUpMultipleHandsTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\SplitUpMultipleHandsTests\HandParserSplitUpMultipleHandsTests.cs,TestSplittingUpHands,The length of the statement  "            string handText = SampleHandHistoryRepository.GetMultipleHandExampleText(PokerFormat.CashGame' Site' expectedHandCount); " is 120.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.SplitUpMultipleHandsTests,HandParserSplitUpMultipleHandsTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\SplitUpMultipleHandsTests\HandParserSplitUpMultipleHandsTests.cs,SplitUpMultipleHands_NoSpace_ReturnsCorrectNumberOfHands,The length of the statement  "            string handText = SampleHandHistoryRepository.GetHandExample(PokerFormat.CashGame' Site' "MultipleHandsTests"' "NoNewLinesMultipleHands"); " is 138.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.SplitUpMultipleHandsTests,HandParserSplitUpMultipleHandsTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\SplitUpMultipleHandsTests\HandParserSplitUpMultipleHandsTests.cs,SplitUpMultipleHands_MinerFormat_ReturnsCorrectNumberOfHands,The length of the statement  "            string handText = SampleHandHistoryRepository.GetHandExample(PokerFormat.CashGame' Site' "MultipleHandsTests"' "MinerFormat"); " is 126.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Tables,HandParserTableNameTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Tables\HandParserTableNameTests.cs,TestTableName,The length of the statement  "            string handText = SampleHandHistoryRepository.GetTableExampleHandHistoryText(PokerFormat.CashGame' Site' tableTestNumber); " is 122.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Tables,HandParserTableNameTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Tables\HandParserTableNameTests.cs,TestTableName,The length of the statement  "            Assert.AreEqual(expectedTableName' GetSummmaryParser().ParseTableName(handText)' "IHandHistorySummaryParser: ParseTableName"); " is 126.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Tables,HandParserTableTypeTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Tables\HandParserTableTypeTests.cs,TestTableType,The length of the statement  "            string handText = SampleHandHistoryRepository.GetTableExampleHandHistoryText(PokerFormat.CashGame' Site' tableTestNumber); " is 122.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Tables,HandParserTableTypeTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Tables\HandParserTableTypeTests.cs,TestTableType,The length of the statement  "            Assert.AreEqual(expectedTableTypeString' GetSummmaryParser().ParseTableType(handText).ToString()' "IHandHistorySummaryParser: ParseTableName"); " is 143.
Long Statement,HandHistories.Parser.UnitTests.Parsers.HandSummaryParserTests.Tables,HandParserTableTypeTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\HandSummaryParserTests\Tables\HandParserTableTypeTests.cs,TestTableType,The length of the statement  "            Assert.AreEqual(expectedTableTypeString' GetParser().ParseTableType(handText).ToString()' "IHandHistoryParser: ParseTableName"); " is 128.
Long Statement,HandHistories.Parser.UnitTests.Parsers.PerformanceTest,HandParserPerformanceTest,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\PerformanceTests\HandParserPerformanceTests.cs,Performance_Parse1000Hands,The length of the statement  "            Assert.IsTrue(ExecutionTimeLessThanFiveSeconds' "Should take less than one seconds: Time Taken: " + elapsedMillis + "ms"); " is 122.
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.IPoker,IPokerExtraTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\IPoker\IPokerExtraTests.cs,HandIssue1,The following statement contains a magic number: HandHistory expectedSummary = new HandHistory()              {                  GameDescription = new GameDescriptor()                  {                      PokerFormat = PokerFormat.CashGame'                      GameType = GameType.NoLimitHoldem'                      Limit = Limit.FromSmallBlindBigBlind(5m' 10m' Currency.USD)'                      SeatType = SeatType.FromMaxPlayers(6)'                      Site = SiteName.IPoker'                      TableType = TableType.FromTableTypeDescriptions(TableTypeDescription.Regular)                  }'                  DateOfHandUtc = new DateTime(2014' 1' 1' 22' 50' 13)'                  DealerButtonPosition = 1'                  HandId = 987654'                  NumPlayersSeated = 5'                  TableName = "Andreapol__No_DP_"              };
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_RaisesReachesCap_Works,The following statement contains a magic number: HandAction handAction =                  GetPokerStarsFastParser().ParseRegularActionLine(@"WANGZHEGL: raises $7.10 to $9.01 and has reached the $10 cap"' 9' Street.Preflop);
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_RaisesReachesCap_Works,The following statement contains a magic number: Assert.AreEqual(new HandAction("WANGZHEGL"' HandActionType.RAISE' 9.01m' Street.Preflop)' handAction);
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_CallsReachesCap_Works,The following statement contains a magic number: HandAction handAction =                  GetPokerStarsFastParser().ParseRegularActionLine(@"tzuiop23: calls $62.35 and has reached the $80 cap"' 8' Street.Preflop);
Magic Number,HandHistories.Parser.UnitTests.Parsers.FastParserTests.PokerStars,PokerStarsFastParserActionTests,D:\research\architectureSmells\repos\HHSmithy_PokerHandHistoryParser\HandHistories.Parser.UnitTests\Parsers\FastParserTests\PokerStars\PokerStarsFastParserActionTests.cs,ParseRegularActionLine_CallsReachesCap_Works,The following statement contains a magic number: Assert.AreEqual(new HandAction("tzuiop23"' HandActionType.CALL' 62.35m' Street.Preflop)' handAction);
